disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Secondary Cardiac Condition 316,Secondary Cardiac Condition 316 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Cardiac Condition 317,Progressive Cardiac Condition 317 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Cardiac Condition 318,Congenital Cardiac Condition 318 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Cardiac Condition 319,Inflammatory Cardiac Condition 319 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Cardiac Condition 320,Metabolic Cardiac Condition 320 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,2,3
Acute Neurological Condition 321,Acute Neurological Condition 321 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Neurological Condition 322,Chronic Neurological Condition 322 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Neurological Condition 323,Autoimmune Neurological Condition 323 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Neurological Condition 324,Idiopathic Neurological Condition 324 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Neurological Condition 325,Primary Neurological Condition 325 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Neurological Condition 326,Secondary Neurological Condition 326 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Neurological Condition 327,Progressive Neurological Condition 327 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Neurological Condition 328,Congenital Neurological Condition 328 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Neurological Condition 329,Inflammatory Neurological Condition 329 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Neurological Condition 330,Metabolic Neurological Condition 330 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Renal Condition 331,Acute Renal Condition 331 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Renal Condition 332,Chronic Renal Condition 332 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Renal Condition 333,Autoimmune Renal Condition 333 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Renal Condition 334,Idiopathic Renal Condition 334 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Renal Condition 335,Primary Renal Condition 335 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Renal Condition 336,Secondary Renal Condition 336 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Renal Condition 337,Progressive Renal Condition 337 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,0,2
Congenital Renal Condition 338,Congenital Renal Condition 338 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,2,1
Inflammatory Renal Condition 339,Inflammatory Renal Condition 339 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,1,0
Metabolic Renal Condition 340,Metabolic Renal Condition 340 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,0,3
Acute Hepatic Condition 341,Acute Hepatic Condition 341 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,2,2
Chronic Hepatic Condition 342,Chronic Hepatic Condition 342 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,1,1
Autoimmune Hepatic Condition 343,Autoimmune Hepatic Condition 343 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,0,0
Idiopathic Hepatic Condition 344,Idiopathic Hepatic Condition 344 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,2,3
Primary Hepatic Condition 345,Primary Hepatic Condition 345 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,1,2
Secondary Hepatic Condition 346,Secondary Hepatic Condition 346 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,0,1
Progressive Hepatic Condition 347,Progressive Hepatic Condition 347 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,2,0
Congenital Hepatic Condition 348,Congenital Hepatic Condition 348 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,1,3
Inflammatory Hepatic Condition 349,Inflammatory Hepatic Condition 349 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,0,2
Metabolic Hepatic Condition 350,Metabolic Hepatic Condition 350 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,2,1
Acute Endocrine Condition 351,Acute Endocrine Condition 351 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,1,0
Chronic Endocrine Condition 352,Chronic Endocrine Condition 352 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,0,3
Autoimmune Endocrine Condition 353,Autoimmune Endocrine Condition 353 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,2,2
Idiopathic Endocrine Condition 354,Idiopathic Endocrine Condition 354 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,1,1
Primary Endocrine Condition 355,Primary Endocrine Condition 355 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,0,0
Secondary Endocrine Condition 356,Secondary Endocrine Condition 356 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,2,3
Progressive Endocrine Condition 357,Progressive Endocrine Condition 357 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,1,2
Congenital Endocrine Condition 358,Congenital Endocrine Condition 358 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,0,1
Inflammatory Endocrine Condition 359,Inflammatory Endocrine Condition 359 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,2,0
Metabolic Endocrine Condition 360,Metabolic Endocrine Condition 360 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,1,3
Acute Gastro Condition 361,Acute Gastro Condition 361 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,0,2
Chronic Gastro Condition 362,Chronic Gastro Condition 362 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,2,1
Autoimmune Gastro Condition 363,Autoimmune Gastro Condition 363 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,1,0
Idiopathic Gastro Condition 364,Idiopathic Gastro Condition 364 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,0,3
Primary Gastro Condition 365,Primary Gastro Condition 365 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,2,2
Secondary Gastro Condition 366,Secondary Gastro Condition 366 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,1,1
Progressive Gastro Condition 367,Progressive Gastro Condition 367 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,0,0
Congenital Gastro Condition 368,Congenital Gastro Condition 368 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,2,3
Inflammatory Gastro Condition 369,Inflammatory Gastro Condition 369 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,1,2
Metabolic Gastro Condition 370,Metabolic Gastro Condition 370 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,0,1
Acute Dermatologic Condition 371,Acute Dermatologic Condition 371 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,2,0
Chronic Dermatologic Condition 372,Chronic Dermatologic Condition 372 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,1,3
Autoimmune Dermatologic Condition 373,Autoimmune Dermatologic Condition 373 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,0,2
Idiopathic Dermatologic Condition 374,Idiopathic Dermatologic Condition 374 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,2,1
Primary Dermatologic Condition 375,Primary Dermatologic Condition 375 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,1,0
Secondary Dermatologic Condition 376,Secondary Dermatologic Condition 376 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Dermatologic Condition 377,Progressive Dermatologic Condition 377 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Dermatologic Condition 378,Congenital Dermatologic Condition 378 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Dermatologic Condition 379,Inflammatory Dermatologic Condition 379 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Dermatologic Condition 380,Metabolic Dermatologic Condition 380 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,2,3
Acute Hematologic Condition 381,Acute Hematologic Condition 381 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Hematologic Condition 382,Chronic Hematologic Condition 382 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Hematologic Condition 383,Autoimmune Hematologic Condition 383 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Hematologic Condition 384,Idiopathic Hematologic Condition 384 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Hematologic Condition 385,Primary Hematologic Condition 385 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Hematologic Condition 386,Secondary Hematologic Condition 386 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Hematologic Condition 387,Progressive Hematologic Condition 387 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Hematologic Condition 388,Congenital Hematologic Condition 388 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Hematologic Condition 389,Inflammatory Hematologic Condition 389 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Hematologic Condition 390,Metabolic Hematologic Condition 390 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Musculoskeletal Condition 391,Acute Musculoskeletal Condition 391 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Musculoskeletal Condition 392,Chronic Musculoskeletal Condition 392 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Musculoskeletal Condition 393,Autoimmune Musculoskeletal Condition 393 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Musculoskeletal Condition 394,Idiopathic Musculoskeletal Condition 394 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Musculoskeletal Condition 395,Primary Musculoskeletal Condition 395 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Musculoskeletal Condition 396,Secondary Musculoskeletal Condition 396 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Musculoskeletal Condition 397,Progressive Musculoskeletal Condition 397 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,0,2
Congenital Musculoskeletal Condition 398,Congenital Musculoskeletal Condition 398 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,2,1
Inflammatory Musculoskeletal Condition 399,Inflammatory Musculoskeletal Condition 399 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,1,0
Metabolic Musculoskeletal Condition 400,Metabolic Musculoskeletal Condition 400 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,0,3
Acute Respiratory Failure 401,Acute Respiratory Failure 401 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,2,2
Chronic Respiratory Failure 402,Chronic Respiratory Failure 402 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,1,1
Autoimmune Respiratory Failure 403,Autoimmune Respiratory Failure 403 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,0,0
Idiopathic Respiratory Failure 404,Idiopathic Respiratory Failure 404 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,2,3
Primary Respiratory Failure 405,Primary Respiratory Failure 405 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,1,2
Secondary Respiratory Failure 406,Secondary Respiratory Failure 406 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,0,1
Progressive Respiratory Failure 407,Progressive Respiratory Failure 407 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,2,0
Congenital Respiratory Failure 408,Congenital Respiratory Failure 408 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,1,3
Inflammatory Respiratory Failure 409,Inflammatory Respiratory Failure 409 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,0,2
Metabolic Respiratory Failure 410,Metabolic Respiratory Failure 410 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,2,1
Acute Cardiac Failure 411,Acute Cardiac Failure 411 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,1,0
Chronic Cardiac Failure 412,Chronic Cardiac Failure 412 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,0,3
Autoimmune Cardiac Failure 413,Autoimmune Cardiac Failure 413 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,2,2
Idiopathic Cardiac Failure 414,Idiopathic Cardiac Failure 414 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,1,1
Primary Cardiac Failure 415,Primary Cardiac Failure 415 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,0,0
Secondary Cardiac Failure 416,Secondary Cardiac Failure 416 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,2,3
Progressive Cardiac Failure 417,Progressive Cardiac Failure 417 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,1,2
Congenital Cardiac Failure 418,Congenital Cardiac Failure 418 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,0,1
Inflammatory Cardiac Failure 419,Inflammatory Cardiac Failure 419 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,2,0
Metabolic Cardiac Failure 420,Metabolic Cardiac Failure 420 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,1,3
Acute Neurological Failure 421,Acute Neurological Failure 421 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,0,2
Chronic Neurological Failure 422,Chronic Neurological Failure 422 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,2,1
Autoimmune Neurological Failure 423,Autoimmune Neurological Failure 423 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,1,0
Idiopathic Neurological Failure 424,Idiopathic Neurological Failure 424 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,0,3
Primary Neurological Failure 425,Primary Neurological Failure 425 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,2,2
Secondary Neurological Failure 426,Secondary Neurological Failure 426 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,1,1
Progressive Neurological Failure 427,Progressive Neurological Failure 427 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,0,0
Congenital Neurological Failure 428,Congenital Neurological Failure 428 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,2,3
Inflammatory Neurological Failure 429,Inflammatory Neurological Failure 429 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,1,2
Metabolic Neurological Failure 430,Metabolic Neurological Failure 430 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,0,1
Acute Renal Failure 431,Acute Renal Failure 431 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,2,0
Chronic Renal Failure 432,Chronic Renal Failure 432 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,1,3
Autoimmune Renal Failure 433,Autoimmune Renal Failure 433 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,0,2
Idiopathic Renal Failure 434,Idiopathic Renal Failure 434 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,2,1
Primary Renal Failure 435,Primary Renal Failure 435 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,1,0
Secondary Renal Failure 436,Secondary Renal Failure 436 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Renal Failure 437,Progressive Renal Failure 437 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Renal Failure 438,Congenital Renal Failure 438 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Renal Failure 439,Inflammatory Renal Failure 439 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Renal Failure 440,Metabolic Renal Failure 440 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,2,3
Acute Hepatic Failure 441,Acute Hepatic Failure 441 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Hepatic Failure 442,Chronic Hepatic Failure 442 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Hepatic Failure 443,Autoimmune Hepatic Failure 443 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Hepatic Failure 444,Idiopathic Hepatic Failure 444 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Hepatic Failure 445,Primary Hepatic Failure 445 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Hepatic Failure 446,Secondary Hepatic Failure 446 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Hepatic Failure 447,Progressive Hepatic Failure 447 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Hepatic Failure 448,Congenital Hepatic Failure 448 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Hepatic Failure 449,Inflammatory Hepatic Failure 449 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Hepatic Failure 450,Metabolic Hepatic Failure 450 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Endocrine Failure 451,Acute Endocrine Failure 451 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Endocrine Failure 452,Chronic Endocrine Failure 452 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Endocrine Failure 453,Autoimmune Endocrine Failure 453 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Endocrine Failure 454,Idiopathic Endocrine Failure 454 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Endocrine Failure 455,Primary Endocrine Failure 455 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Endocrine Failure 456,Secondary Endocrine Failure 456 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Endocrine Failure 457,Progressive Endocrine Failure 457 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,0,2
Congenital Endocrine Failure 458,Congenital Endocrine Failure 458 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,2,1
Inflammatory Endocrine Failure 459,Inflammatory Endocrine Failure 459 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,1,0
Metabolic Endocrine Failure 460,Metabolic Endocrine Failure 460 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,0,3
Acute Gastro Failure 461,Acute Gastro Failure 461 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,2,2
Chronic Gastro Failure 462,Chronic Gastro Failure 462 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,1,1
Autoimmune Gastro Failure 463,Autoimmune Gastro Failure 463 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,0,0
Idiopathic Gastro Failure 464,Idiopathic Gastro Failure 464 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,2,3
Primary Gastro Failure 465,Primary Gastro Failure 465 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,1,2
Secondary Gastro Failure 466,Secondary Gastro Failure 466 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,0,1
Progressive Gastro Failure 467,Progressive Gastro Failure 467 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,2,0
Congenital Gastro Failure 468,Congenital Gastro Failure 468 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,1,3
Inflammatory Gastro Failure 469,Inflammatory Gastro Failure 469 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,0,2
Metabolic Gastro Failure 470,Metabolic Gastro Failure 470 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,2,1
Acute Dermatologic Failure 471,Acute Dermatologic Failure 471 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,1,0
Chronic Dermatologic Failure 472,Chronic Dermatologic Failure 472 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,0,3
Autoimmune Dermatologic Failure 473,Autoimmune Dermatologic Failure 473 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,2,2
Idiopathic Dermatologic Failure 474,Idiopathic Dermatologic Failure 474 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,1,1
Primary Dermatologic Failure 475,Primary Dermatologic Failure 475 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,0,0
Secondary Dermatologic Failure 476,Secondary Dermatologic Failure 476 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,2,3
Progressive Dermatologic Failure 477,Progressive Dermatologic Failure 477 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,1,2
Congenital Dermatologic Failure 478,Congenital Dermatologic Failure 478 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,0,1
