Drug,Disease,Dosage,Side_Effects,Contraindications,Drug_Category,General_Precaution,Administration_Route,Population_Group,Risk_Level,Disclaimer
Gabaxime4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Ceffloxacin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levofloxacin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxyfloxacin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Flufloxacin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosifloxacin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Telifloxacin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metofloxacin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carvefloxacin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopfloxacin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabafloxacin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefcycline4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levocycline4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxycycline4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Flucycline4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosicycline4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telicycline4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metocycline4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvecycline4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisopcycline4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabacycline4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Cefconazole4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levoconazole4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxyconazole4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Fluconazole4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosiconazole4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Teliconazole4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Metoconazole4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Carveconazole4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Bisopconazole4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Gabaconazole4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Cefstatin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levostatin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxystatin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Flustatin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosistatin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Telistatin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metostatin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carvestatin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopstatin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabastatin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Cefsartan4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levosartan4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxysartan4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Flusartan4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosisartan4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telisartan4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metosartan4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvesartan4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopsartan4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabasartan4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefprolol4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levoprolol4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxyprolol4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Fluprolol4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosiprolol4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Teliprolol4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metoprolol4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carveprolol4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisopprolol4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabaprolol4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefdipine4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levodipine4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxydipine4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Fludipine4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosidipine4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Telidipine4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metodipine4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carvedipine4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopdipine4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabadipine4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefpentin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levopentin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxypentin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Flupentin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosipentin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telipentin4,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metopentin4,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvepentin4,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisoppentin4,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabapentin4,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Paracetamol,Fever,500 mg,Nausea,Severe liver disease,Analgesic,Use only supportive guidance,Oral,Pediatric,Low,Low
Ibuprofen,Pain,400 mg,GI upset,Peptic ulcer,NSAID,Avoid prolonged unsupervised use,Oral,Geriatric,Medium,Medium
Amoxicillin,Bacterial Infection,500 mg,Rash,Penicillin allergy,Antibiotic,Use only when medically indicated,Oral,Adult,High,Medium
Metformin,Type 2 Diabetes,500 mg,Diarrhea,Renal failure,Antidiabetic,Monitor glucose,Oral,Pediatric,Critical,Medium
Amlodipine,Hypertension,5 mg,Edema,Severe hypotension,Antihypertensive,Monitor blood pressure,Oral,Geriatric,Low,Medium
Salbutamol,Asthma,2 puffs,Tremor,Arrhythmia,Bronchodilator,Use inhaler correctly,Inhalation,Adult,Medium,High
Omeprazole,GERD,20 mg,Headache,Hypersensitivity,PPI,Short-term use preferred,Oral,Pediatric,High,Low
Losartan,Hypertension,50 mg,Dizziness,Pregnancy,ARB,Monitor potassium,Oral,Geriatric,Critical,Medium
Insulin,Diabetes,10 units,Hypoglycemia,Dose errors,Hormone,Requires monitoring,Subcutaneous,Adult,Low,High
Azithromycin,Respiratory Infection,500 mg,Nausea,QT prolongation,Antibiotic,Avoid misuse,Oral,Pediatric,Medium,Medium
Cefxime,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levoxime,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxyxime,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Fluxime,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosixime,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Telixime,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metoxime,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carvexime,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopxime,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabaxime,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Ceffloxacin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levofloxacin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxyfloxacin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Flufloxacin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosifloxacin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telifloxacin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metofloxacin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvefloxacin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopfloxacin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabafloxacin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefcycline,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levocycline,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxycycline,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Flucycline,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosicycline,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Telicycline,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metocycline,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carvecycline,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisopcycline,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabacycline,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefconazole,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levoconazole,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxyconazole,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Fluconazole,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosiconazole,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Teliconazole,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metoconazole,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carveconazole,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopconazole,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabaconazole,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefstatin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levostatin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxystatin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Flustatin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosistatin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telistatin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metostatin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvestatin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisopstatin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabastatin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Cefsartan,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levosartan,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxysartan,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Flusartan,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosisartan,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Telisartan,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Metosartan,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Carvesartan,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Bisopsartan,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Gabasartan,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Cefprolol,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levoprolol,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxyprolol,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Fluprolol,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosiprolol,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Teliprolol,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metoprolol,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carveprolol,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopprolol,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabaprolol,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Cefdipine,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levodipine,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxydipine,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Fludipine,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosidipine,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Telidipine,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Metodipine,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Carvedipine,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Bisopdipine,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Gabadipine,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Cefpentin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Levopentin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Doxypentin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Flupentin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Rosipentin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Telipentin,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Metopentin,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Carvepentin,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Bisoppentin,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Gabapentin,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Cefsetron,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Levosetron,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Doxysetron,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Flusetron,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Rosisetron,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Telisetron,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Metosetron,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Carvesetron,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Bisopsetron,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Gabasetron,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Cefxime1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Levoxime1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Doxyxime1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Fluxime1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Rosixime1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Telixime1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Metoxime1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Carvexime1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Bisopxime1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Gabaxime1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Ceffloxacin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Levofloxacin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Doxyfloxacin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Flufloxacin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Rosifloxacin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Telifloxacin1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Metofloxacin1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Carvefloxacin1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Bisopfloxacin1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Gabafloxacin1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Cefcycline1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Levocycline1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Doxycycline1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Flucycline1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
Rosicycline1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,High,Medium
Telicycline1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Critical,Medium
Metocycline1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Low,Medium
Carvecycline1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Medium,Medium
Bisopcycline1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,High,Medium
Gabacycline1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Critical,Medium
Cefconazole1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Low,Medium
Levoconazole1,General Disorder,100 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Medium,Medium
Doxyconazole1,General Disorder,150 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,High,Medium
Fluconazole1,General Disorder,200 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Adult,Critical,Medium
Rosiconazole1,General Disorder,250 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Pediatric,Low,Medium
Teliconazole1,General Disorder,50 mg,Varied mild effects,See clinician,General Medicine,Use under guidance,Oral,Geriatric,Medium,Medium
