risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
15,Kidney Disease,3,0,3,Immediate Attention
15,Kidney Disease,4,1,2,Preventive
15,Liver Disease,1,0,1,Moderate Monitoring
15,Liver Disease,2,1,0,High Monitoring
15,Liver Disease,3,0,3,Immediate Attention
15,Liver Disease,4,1,2,Preventive
15,Respiratory Disorder,1,0,1,Moderate Monitoring
15,Respiratory Disorder,2,1,0,High Monitoring
15,Respiratory Disorder,3,0,3,Immediate Attention
15,Respiratory Disorder,4,1,2,Preventive
15,Cancer,1,0,1,Moderate Monitoring
15,Cancer,2,1,0,High Monitoring
15,Cancer,3,0,3,Immediate Attention
15,Cancer,4,1,2,Preventive
15,Obesity,1,0,1,Moderate Monitoring
15,Obesity,2,1,0,High Monitoring
15,Obesity,3,0,3,Immediate Attention
15,Obesity,4,1,2,Preventive
15,Depression,1,0,1,Moderate Monitoring
15,Depression,2,1,0,High Monitoring
15,Depression,3,0,3,Immediate Attention
15,Depression,4,1,2,Preventive
15,Anxiety,1,0,1,Moderate Monitoring
15,Anxiety,2,1,0,High Monitoring
15,Anxiety,3,0,3,Immediate Attention
15,Anxiety,4,1,2,Preventive
15,Infection Risk,1,0,1,Moderate Monitoring
15,Infection Risk,2,1,0,High Monitoring
15,Infection Risk,3,0,3,Immediate Attention
15,Infection Risk,4,1,2,Preventive
15,Metabolic Disorder,1,0,1,Moderate Monitoring
15,Metabolic Disorder,2,1,0,High Monitoring
15,Metabolic Disorder,3,0,3,Immediate Attention
15,Metabolic Disorder,4,1,2,Preventive
15,Autoimmune Disease,1,0,1,Moderate Monitoring
15,Autoimmune Disease,2,1,0,High Monitoring
15,Autoimmune Disease,3,0,3,Immediate Attention
15,Autoimmune Disease,4,1,2,Preventive
15,Hormonal Disorder,1,0,1,Moderate Monitoring
15,Hormonal Disorder,2,1,0,High Monitoring
15,Hormonal Disorder,3,0,3,Immediate Attention
15,Hormonal Disorder,4,1,2,Preventive
33,Heart Disease,1,0,1,Moderate Monitoring
33,Heart Disease,2,1,0,High Monitoring
33,Heart Disease,3,0,3,Immediate Attention
33,Heart Disease,4,1,2,Preventive
33,Diabetes,1,0,1,Moderate Monitoring
33,Diabetes,2,1,0,High Monitoring
33,Diabetes,3,0,3,Immediate Attention
33,Diabetes,4,1,2,Preventive
33,Hypertension,1,0,1,Moderate Monitoring
33,Hypertension,2,1,0,High Monitoring
33,Hypertension,3,0,3,Immediate Attention
33,Hypertension,4,1,2,Preventive
33,Stroke,1,0,1,Moderate Monitoring
33,Stroke,2,1,0,High Monitoring
33,Stroke,3,0,3,Immediate Attention
33,Stroke,4,1,2,Preventive
33,Kidney Disease,1,0,1,Moderate Monitoring
33,Kidney Disease,2,1,0,High Monitoring
33,Kidney Disease,3,0,3,Immediate Attention
33,Kidney Disease,4,1,2,Preventive
33,Liver Disease,1,0,1,Moderate Monitoring
33,Liver Disease,2,1,0,High Monitoring
33,Liver Disease,3,0,3,Immediate Attention
33,Liver Disease,4,1,2,Preventive
33,Respiratory Disorder,1,0,1,Moderate Monitoring
33,Respiratory Disorder,2,1,0,High Monitoring
33,Respiratory Disorder,3,0,3,Immediate Attention
33,Respiratory Disorder,4,1,2,Preventive
33,Cancer,1,0,1,Moderate Monitoring
33,Cancer,2,1,0,High Monitoring
33,Cancer,3,0,3,Immediate Attention
33,Cancer,4,1,2,Preventive
33,Obesity,1,0,1,Moderate Monitoring
33,Obesity,2,1,0,High Monitoring
33,Obesity,3,0,3,Immediate Attention
33,Obesity,4,1,2,Preventive
33,Depression,1,0,1,Moderate Monitoring
33,Depression,2,1,0,High Monitoring
33,Depression,3,0,3,Immediate Attention
33,Depression,4,1,2,Preventive
33,Anxiety,1,0,1,Moderate Monitoring
33,Anxiety,2,1,0,High Monitoring
33,Anxiety,3,0,3,Immediate Attention
33,Anxiety,4,1,2,Preventive
33,Infection Risk,1,0,1,Moderate Monitoring
33,Infection Risk,2,1,0,High Monitoring
33,Infection Risk,3,0,3,Immediate Attention
33,Infection Risk,4,1,2,Preventive
33,Metabolic Disorder,1,0,1,Moderate Monitoring
33,Metabolic Disorder,2,1,0,High Monitoring
33,Metabolic Disorder,3,0,3,Immediate Attention
33,Metabolic Disorder,4,1,2,Preventive
33,Autoimmune Disease,1,0,1,Moderate Monitoring
33,Autoimmune Disease,2,1,0,High Monitoring
33,Autoimmune Disease,3,0,3,Immediate Attention
33,Autoimmune Disease,4,1,2,Preventive
33,Hormonal Disorder,1,0,1,Moderate Monitoring
33,Hormonal Disorder,2,1,0,High Monitoring
33,Hormonal Disorder,3,0,3,Immediate Attention
33,Hormonal Disorder,4,1,2,Preventive
19,Heart Disease,1,0,1,Moderate Monitoring
19,Heart Disease,2,1,0,High Monitoring
19,Heart Disease,3,0,3,Immediate Attention
19,Heart Disease,4,1,2,Preventive
19,Diabetes,1,0,1,Moderate Monitoring
19,Diabetes,2,1,0,High Monitoring
19,Diabetes,3,0,3,Immediate Attention
19,Diabetes,4,1,2,Preventive
19,Hypertension,1,0,1,Moderate Monitoring
19,Hypertension,2,1,0,High Monitoring
19,Hypertension,3,0,3,Immediate Attention
19,Hypertension,4,1,2,Preventive
19,Stroke,1,0,1,Moderate Monitoring
19,Stroke,2,1,0,High Monitoring
19,Stroke,3,0,3,Immediate Attention
19,Stroke,4,1,2,Preventive
19,Kidney Disease,1,0,1,Moderate Monitoring
19,Kidney Disease,2,1,0,High Monitoring
19,Kidney Disease,3,0,3,Immediate Attention
19,Kidney Disease,4,1,2,Preventive
19,Liver Disease,1,0,1,Moderate Monitoring
19,Liver Disease,2,1,0,High Monitoring
19,Liver Disease,3,0,3,Immediate Attention
19,Liver Disease,4,1,2,Preventive
19,Respiratory Disorder,1,0,1,Moderate Monitoring
19,Respiratory Disorder,2,1,0,High Monitoring
19,Respiratory Disorder,3,0,3,Immediate Attention
19,Respiratory Disorder,4,1,2,Preventive
19,Cancer,1,0,1,Moderate Monitoring
19,Cancer,2,1,0,High Monitoring
19,Cancer,3,0,3,Immediate Attention
19,Cancer,4,1,2,Preventive
19,Obesity,1,0,1,Moderate Monitoring
19,Obesity,2,1,0,High Monitoring
19,Obesity,3,0,3,Immediate Attention
19,Obesity,4,1,2,Preventive
19,Depression,1,0,1,Moderate Monitoring
19,Depression,2,1,0,High Monitoring
19,Depression,3,0,3,Immediate Attention
19,Depression,4,1,2,Preventive
19,Anxiety,1,0,1,Moderate Monitoring
19,Anxiety,2,1,0,High Monitoring
19,Anxiety,3,0,3,Immediate Attention
19,Anxiety,4,1,2,Preventive
19,Infection Risk,1,0,1,Moderate Monitoring
19,Infection Risk,2,1,0,High Monitoring
19,Infection Risk,3,0,3,Immediate Attention
19,Infection Risk,4,1,2,Preventive
19,Metabolic Disorder,1,0,1,Moderate Monitoring
19,Metabolic Disorder,2,1,0,High Monitoring
19,Metabolic Disorder,3,0,3,Immediate Attention
19,Metabolic Disorder,4,1,2,Preventive
19,Autoimmune Disease,1,0,1,Moderate Monitoring
19,Autoimmune Disease,2,1,0,High Monitoring
19,Autoimmune Disease,3,0,3,Immediate Attention
19,Autoimmune Disease,4,1,2,Preventive
19,Hormonal Disorder,1,0,1,Moderate Monitoring
19,Hormonal Disorder,2,1,0,High Monitoring
19,Hormonal Disorder,3,0,3,Immediate Attention
19,Hormonal Disorder,4,1,2,Preventive
20,Heart Disease,1,0,1,Moderate Monitoring
20,Heart Disease,2,1,0,High Monitoring
20,Heart Disease,3,0,3,Immediate Attention
20,Heart Disease,4,1,2,Preventive
20,Diabetes,1,0,1,Moderate Monitoring
20,Diabetes,2,1,0,High Monitoring
20,Diabetes,3,0,3,Immediate Attention
20,Diabetes,4,1,2,Preventive
20,Hypertension,1,0,1,Moderate Monitoring
20,Hypertension,2,1,0,High Monitoring
20,Hypertension,3,0,3,Immediate Attention
20,Hypertension,4,1,2,Preventive
20,Stroke,1,0,1,Moderate Monitoring
20,Stroke,2,1,0,High Monitoring
20,Stroke,3,0,3,Immediate Attention
20,Stroke,4,1,2,Preventive
20,Kidney Disease,1,0,1,Moderate Monitoring
20,Kidney Disease,2,1,0,High Monitoring
20,Kidney Disease,3,0,3,Immediate Attention
20,Kidney Disease,4,1,2,Preventive
20,Liver Disease,1,0,1,Moderate Monitoring
20,Liver Disease,2,1,0,High Monitoring
20,Liver Disease,3,0,3,Immediate Attention
20,Liver Disease,4,1,2,Preventive
20,Respiratory Disorder,1,0,1,Moderate Monitoring
20,Respiratory Disorder,2,1,0,High Monitoring
20,Respiratory Disorder,3,0,3,Immediate Attention
20,Respiratory Disorder,4,1,2,Preventive
20,Cancer,1,0,1,Moderate Monitoring
20,Cancer,2,1,0,High Monitoring
20,Cancer,3,0,3,Immediate Attention
20,Cancer,4,1,2,Preventive
20,Obesity,1,0,1,Moderate Monitoring
20,Obesity,2,1,0,High Monitoring
20,Obesity,3,0,3,Immediate Attention
20,Obesity,4,1,2,Preventive
20,Depression,1,0,1,Moderate Monitoring
20,Depression,2,1,0,High Monitoring
20,Depression,3,0,3,Immediate Attention
20,Depression,4,1,2,Preventive
20,Anxiety,1,0,1,Moderate Monitoring
20,Anxiety,2,1,0,High Monitoring
20,Anxiety,3,0,3,Immediate Attention
20,Anxiety,4,1,2,Preventive
20,Infection Risk,1,0,1,Moderate Monitoring
20,Infection Risk,2,1,0,High Monitoring
20,Infection Risk,3,0,3,Immediate Attention
20,Infection Risk,4,1,2,Preventive
20,Metabolic Disorder,1,0,1,Moderate Monitoring
20,Metabolic Disorder,2,1,0,High Monitoring
20,Metabolic Disorder,3,0,3,Immediate Attention
20,Metabolic Disorder,4,1,2,Preventive
20,Autoimmune Disease,1,0,1,Moderate Monitoring
20,Autoimmune Disease,2,1,0,High Monitoring
20,Autoimmune Disease,3,0,3,Immediate Attention
20,Autoimmune Disease,4,1,2,Preventive
20,Hormonal Disorder,1,0,1,Moderate Monitoring
20,Hormonal Disorder,2,1,0,High Monitoring
20,Hormonal Disorder,3,0,3,Immediate Attention
20,Hormonal Disorder,4,1,2,Preventive
2,Heart Disease,1,0,1,Moderate Monitoring
2,Heart Disease,2,1,0,High Monitoring
2,Heart Disease,3,0,3,Immediate Attention
2,Heart Disease,4,1,2,Preventive
2,Diabetes,1,0,1,Moderate Monitoring
2,Diabetes,2,1,0,High Monitoring
2,Diabetes,3,0,3,Immediate Attention
2,Diabetes,4,1,2,Preventive
2,Hypertension,1,0,1,Moderate Monitoring
2,Hypertension,2,1,0,High Monitoring
2,Hypertension,3,0,3,Immediate Attention
2,Hypertension,4,1,2,Preventive
2,Stroke,1,0,1,Moderate Monitoring
2,Stroke,2,1,0,High Monitoring
2,Stroke,3,0,3,Immediate Attention
2,Stroke,4,1,2,Preventive
2,Kidney Disease,1,0,1,Moderate Monitoring
2,Kidney Disease,2,1,0,High Monitoring
2,Kidney Disease,3,0,3,Immediate Attention
2,Kidney Disease,4,1,2,Preventive
2,Liver Disease,1,0,1,Moderate Monitoring
2,Liver Disease,2,1,0,High Monitoring
2,Liver Disease,3,0,3,Immediate Attention
2,Liver Disease,4,1,2,Preventive
2,Respiratory Disorder,1,0,1,Moderate Monitoring
2,Respiratory Disorder,2,1,0,High Monitoring
2,Respiratory Disorder,3,0,3,Immediate Attention
2,Respiratory Disorder,4,1,2,Preventive
2,Cancer,1,0,1,Moderate Monitoring
2,Cancer,2,1,0,High Monitoring
2,Cancer,3,0,3,Immediate Attention
2,Cancer,4,1,2,Preventive
2,Obesity,1,0,1,Moderate Monitoring
2,Obesity,2,1,0,High Monitoring
2,Obesity,3,0,3,Immediate Attention
2,Obesity,4,1,2,Preventive
2,Depression,1,0,1,Moderate Monitoring
2,Depression,2,1,0,High Monitoring
2,Depression,3,0,3,Immediate Attention
2,Depression,4,1,2,Preventive
2,Anxiety,1,0,1,Moderate Monitoring
2,Anxiety,2,1,0,High Monitoring
2,Anxiety,3,0,3,Immediate Attention
2,Anxiety,4,1,2,Preventive
2,Infection Risk,1,0,1,Moderate Monitoring
2,Infection Risk,2,1,0,High Monitoring
2,Infection Risk,3,0,3,Immediate Attention
2,Infection Risk,4,1,2,Preventive
2,Metabolic Disorder,1,0,1,Moderate Monitoring
2,Metabolic Disorder,2,1,0,High Monitoring
2,Metabolic Disorder,3,0,3,Immediate Attention
2,Metabolic Disorder,4,1,2,Preventive
2,Autoimmune Disease,1,0,1,Moderate Monitoring
2,Autoimmune Disease,2,1,0,High Monitoring
2,Autoimmune Disease,3,0,3,Immediate Attention
2,Autoimmune Disease,4,1,2,Preventive
2,Hormonal Disorder,1,0,1,Moderate Monitoring
2,Hormonal Disorder,2,1,0,High Monitoring
2,Hormonal Disorder,3,0,3,Immediate Attention
2,Hormonal Disorder,4,1,2,Preventive
31,Heart Disease,1,0,1,Moderate Monitoring
31,Heart Disease,2,1,0,High Monitoring
31,Heart Disease,3,0,3,Immediate Attention
31,Heart Disease,4,1,2,Preventive
31,Diabetes,1,0,1,Moderate Monitoring
31,Diabetes,2,1,0,High Monitoring
31,Diabetes,3,0,3,Immediate Attention
31,Diabetes,4,1,2,Preventive
31,Hypertension,1,0,1,Moderate Monitoring
31,Hypertension,2,1,0,High Monitoring
31,Hypertension,3,0,3,Immediate Attention
31,Hypertension,4,1,2,Preventive
31,Stroke,1,0,1,Moderate Monitoring
31,Stroke,2,1,0,High Monitoring
31,Stroke,3,0,3,Immediate Attention
31,Stroke,4,1,2,Preventive
31,Kidney Disease,1,0,1,Moderate Monitoring
31,Kidney Disease,2,1,0,High Monitoring
31,Kidney Disease,3,0,3,Immediate Attention
31,Kidney Disease,4,1,2,Preventive
31,Liver Disease,1,0,1,Moderate Monitoring
31,Liver Disease,2,1,0,High Monitoring
31,Liver Disease,3,0,3,Immediate Attention
31,Liver Disease,4,1,2,Preventive
31,Respiratory Disorder,1,0,1,Moderate Monitoring
31,Respiratory Disorder,2,1,0,High Monitoring
31,Respiratory Disorder,3,0,3,Immediate Attention
31,Respiratory Disorder,4,1,2,Preventive
31,Cancer,1,0,1,Moderate Monitoring
31,Cancer,2,1,0,High Monitoring
31,Cancer,3,0,3,Immediate Attention
31,Cancer,4,1,2,Preventive
31,Obesity,1,0,1,Moderate Monitoring
31,Obesity,2,1,0,High Monitoring
31,Obesity,3,0,3,Immediate Attention
31,Obesity,4,1,2,Preventive
31,Depression,1,0,1,Moderate Monitoring
31,Depression,2,1,0,High Monitoring
31,Depression,3,0,3,Immediate Attention
31,Depression,4,1,2,Preventive
31,Anxiety,1,0,1,Moderate Monitoring
31,Anxiety,2,1,0,High Monitoring
31,Anxiety,3,0,3,Immediate Attention
31,Anxiety,4,1,2,Preventive
31,Infection Risk,1,0,1,Moderate Monitoring
31,Infection Risk,2,1,0,High Monitoring
31,Infection Risk,3,0,3,Immediate Attention
31,Infection Risk,4,1,2,Preventive
31,Metabolic Disorder,1,0,1,Moderate Monitoring
31,Metabolic Disorder,2,1,0,High Monitoring
31,Metabolic Disorder,3,0,3,Immediate Attention
31,Metabolic Disorder,4,1,2,Preventive
31,Autoimmune Disease,1,0,1,Moderate Monitoring
31,Autoimmune Disease,2,1,0,High Monitoring
31,Autoimmune Disease,3,0,3,Immediate Attention
31,Autoimmune Disease,4,1,2,Preventive
31,Hormonal Disorder,1,0,1,Moderate Monitoring
31,Hormonal Disorder,2,1,0,High Monitoring
31,Hormonal Disorder,3,0,3,Immediate Attention
31,Hormonal Disorder,4,1,2,Preventive
8,Heart Disease,1,0,1,Moderate Monitoring
8,Heart Disease,2,1,0,High Monitoring
8,Heart Disease,3,0,3,Immediate Attention
8,Heart Disease,4,1,2,Preventive
8,Diabetes,1,0,1,Moderate Monitoring
8,Diabetes,2,1,0,High Monitoring
8,Diabetes,3,0,3,Immediate Attention
8,Diabetes,4,1,2,Preventive
8,Hypertension,1,0,1,Moderate Monitoring
8,Hypertension,2,1,0,High Monitoring
8,Hypertension,3,0,3,Immediate Attention
8,Hypertension,4,1,2,Preventive
8,Stroke,1,0,1,Moderate Monitoring
8,Stroke,2,1,0,High Monitoring
8,Stroke,3,0,3,Immediate Attention
8,Stroke,4,1,2,Preventive
8,Kidney Disease,1,0,1,Moderate Monitoring
8,Kidney Disease,2,1,0,High Monitoring
8,Kidney Disease,3,0,3,Immediate Attention
8,Kidney Disease,4,1,2,Preventive
8,Liver Disease,1,0,1,Moderate Monitoring
8,Liver Disease,2,1,0,High Monitoring
8,Liver Disease,3,0,3,Immediate Attention
8,Liver Disease,4,1,2,Preventive
8,Respiratory Disorder,1,0,1,Moderate Monitoring
8,Respiratory Disorder,2,1,0,High Monitoring
8,Respiratory Disorder,3,0,3,Immediate Attention
8,Respiratory Disorder,4,1,2,Preventive
8,Cancer,1,0,1,Moderate Monitoring
8,Cancer,2,1,0,High Monitoring
8,Cancer,3,0,3,Immediate Attention
8,Cancer,4,1,2,Preventive
8,Obesity,1,0,1,Moderate Monitoring
8,Obesity,2,1,0,High Monitoring
8,Obesity,3,0,3,Immediate Attention
8,Obesity,4,1,2,Preventive
8,Depression,1,0,1,Moderate Monitoring
8,Depression,2,1,0,High Monitoring
8,Depression,3,0,3,Immediate Attention
8,Depression,4,1,2,Preventive
8,Anxiety,1,0,1,Moderate Monitoring
8,Anxiety,2,1,0,High Monitoring
8,Anxiety,3,0,3,Immediate Attention
8,Anxiety,4,1,2,Preventive
8,Infection Risk,1,0,1,Moderate Monitoring
8,Infection Risk,2,1,0,High Monitoring
8,Infection Risk,3,0,3,Immediate Attention
8,Infection Risk,4,1,2,Preventive
8,Metabolic Disorder,1,0,1,Moderate Monitoring
8,Metabolic Disorder,2,1,0,High Monitoring
8,Metabolic Disorder,3,0,3,Immediate Attention
8,Metabolic Disorder,4,1,2,Preventive
8,Autoimmune Disease,1,0,1,Moderate Monitoring
8,Autoimmune Disease,2,1,0,High Monitoring
8,Autoimmune Disease,3,0,3,Immediate Attention
8,Autoimmune Disease,4,1,2,Preventive
8,Hormonal Disorder,1,0,1,Moderate Monitoring
8,Hormonal Disorder,2,1,0,High Monitoring
8,Hormonal Disorder,3,0,3,Immediate Attention
8,Hormonal Disorder,4,1,2,Preventive
41,Heart Disease,1,0,1,Moderate Monitoring
41,Heart Disease,2,1,0,High Monitoring
41,Heart Disease,3,0,3,Immediate Attention
41,Heart Disease,4,1,2,Preventive
41,Diabetes,1,0,1,Moderate Monitoring
41,Diabetes,2,1,0,High Monitoring
41,Diabetes,3,0,3,Immediate Attention
41,Diabetes,4,1,2,Preventive
41,Hypertension,1,0,1,Moderate Monitoring
41,Hypertension,2,1,0,High Monitoring
41,Hypertension,3,0,3,Immediate Attention
41,Hypertension,4,1,2,Preventive
41,Stroke,1,0,1,Moderate Monitoring
41,Stroke,2,1,0,High Monitoring
41,Stroke,3,0,3,Immediate Attention
41,Stroke,4,1,2,Preventive
41,Kidney Disease,1,0,1,Moderate Monitoring
41,Kidney Disease,2,1,0,High Monitoring
41,Kidney Disease,3,0,3,Immediate Attention
41,Kidney Disease,4,1,2,Preventive
41,Liver Disease,1,0,1,Moderate Monitoring
41,Liver Disease,2,1,0,High Monitoring
41,Liver Disease,3,0,3,Immediate Attention
41,Liver Disease,4,1,2,Preventive
41,Respiratory Disorder,1,0,1,Moderate Monitoring
41,Respiratory Disorder,2,1,0,High Monitoring
41,Respiratory Disorder,3,0,3,Immediate Attention
41,Respiratory Disorder,4,1,2,Preventive
41,Cancer,1,0,1,Moderate Monitoring
41,Cancer,2,1,0,High Monitoring
41,Cancer,3,0,3,Immediate Attention
41,Cancer,4,1,2,Preventive
41,Obesity,1,0,1,Moderate Monitoring
41,Obesity,2,1,0,High Monitoring
41,Obesity,3,0,3,Immediate Attention
41,Obesity,4,1,2,Preventive
41,Depression,1,0,1,Moderate Monitoring
41,Depression,2,1,0,High Monitoring
41,Depression,3,0,3,Immediate Attention
41,Depression,4,1,2,Preventive
41,Anxiety,1,0,1,Moderate Monitoring
41,Anxiety,2,1,0,High Monitoring
41,Anxiety,3,0,3,Immediate Attention
41,Anxiety,4,1,2,Preventive
41,Infection Risk,1,0,1,Moderate Monitoring
41,Infection Risk,2,1,0,High Monitoring
41,Infection Risk,3,0,3,Immediate Attention
41,Infection Risk,4,1,2,Preventive
41,Metabolic Disorder,1,0,1,Moderate Monitoring
41,Metabolic Disorder,2,1,0,High Monitoring
41,Metabolic Disorder,3,0,3,Immediate Attention
41,Metabolic Disorder,4,1,2,Preventive
41,Autoimmune Disease,1,0,1,Moderate Monitoring
41,Autoimmune Disease,2,1,0,High Monitoring
41,Autoimmune Disease,3,0,3,Immediate Attention
41,Autoimmune Disease,4,1,2,Preventive
41,Hormonal Disorder,1,0,1,Moderate Monitoring
41,Hormonal Disorder,2,1,0,High Monitoring
41,Hormonal Disorder,3,0,3,Immediate Attention
41,Hormonal Disorder,4,1,2,Preventive
48,Heart Disease,1,0,1,Moderate Monitoring
48,Heart Disease,2,1,0,High Monitoring
48,Heart Disease,3,0,3,Immediate Attention
48,Heart Disease,4,1,2,Preventive
48,Diabetes,1,0,1,Moderate Monitoring
48,Diabetes,2,1,0,High Monitoring
48,Diabetes,3,0,3,Immediate Attention
48,Diabetes,4,1,2,Preventive
48,Hypertension,1,0,1,Moderate Monitoring
48,Hypertension,2,1,0,High Monitoring
48,Hypertension,3,0,3,Immediate Attention
48,Hypertension,4,1,2,Preventive
48,Stroke,1,0,1,Moderate Monitoring
48,Stroke,2,1,0,High Monitoring
48,Stroke,3,0,3,Immediate Attention
48,Stroke,4,1,2,Preventive
48,Kidney Disease,1,0,1,Moderate Monitoring
48,Kidney Disease,2,1,0,High Monitoring
48,Kidney Disease,3,0,3,Immediate Attention
48,Kidney Disease,4,1,2,Preventive
48,Liver Disease,1,0,1,Moderate Monitoring
48,Liver Disease,2,1,0,High Monitoring
48,Liver Disease,3,0,3,Immediate Attention
48,Liver Disease,4,1,2,Preventive
48,Respiratory Disorder,1,0,1,Moderate Monitoring
48,Respiratory Disorder,2,1,0,High Monitoring
48,Respiratory Disorder,3,0,3,Immediate Attention
48,Respiratory Disorder,4,1,2,Preventive
48,Cancer,1,0,1,Moderate Monitoring
48,Cancer,2,1,0,High Monitoring
48,Cancer,3,0,3,Immediate Attention
48,Cancer,4,1,2,Preventive
48,Obesity,1,0,1,Moderate Monitoring
48,Obesity,2,1,0,High Monitoring
48,Obesity,3,0,3,Immediate Attention
48,Obesity,4,1,2,Preventive
48,Depression,1,0,1,Moderate Monitoring
48,Depression,2,1,0,High Monitoring
48,Depression,3,0,3,Immediate Attention
48,Depression,4,1,2,Preventive
48,Anxiety,1,0,1,Moderate Monitoring
48,Anxiety,2,1,0,High Monitoring
48,Anxiety,3,0,3,Immediate Attention
48,Anxiety,4,1,2,Preventive
48,Infection Risk,1,0,1,Moderate Monitoring
48,Infection Risk,2,1,0,High Monitoring
48,Infection Risk,3,0,3,Immediate Attention
48,Infection Risk,4,1,2,Preventive
48,Metabolic Disorder,1,0,1,Moderate Monitoring
48,Metabolic Disorder,2,1,0,High Monitoring
48,Metabolic Disorder,3,0,3,Immediate Attention
48,Metabolic Disorder,4,1,2,Preventive
48,Autoimmune Disease,1,0,1,Moderate Monitoring
48,Autoimmune Disease,2,1,0,High Monitoring
48,Autoimmune Disease,3,0,3,Immediate Attention
48,Autoimmune Disease,4,1,2,Preventive
48,Hormonal Disorder,1,0,1,Moderate Monitoring
48,Hormonal Disorder,2,1,0,High Monitoring
48,Hormonal Disorder,3,0,3,Immediate Attention
48,Hormonal Disorder,4,1,2,Preventive
36,Heart Disease,1,0,1,Moderate Monitoring
36,Heart Disease,2,1,0,High Monitoring
36,Heart Disease,3,0,3,Immediate Attention
36,Heart Disease,4,1,2,Preventive
36,Diabetes,1,0,1,Moderate Monitoring
36,Diabetes,2,1,0,High Monitoring
36,Diabetes,3,0,3,Immediate Attention
36,Diabetes,4,1,2,Preventive
36,Hypertension,1,0,1,Moderate Monitoring
36,Hypertension,2,1,0,High Monitoring
36,Hypertension,3,0,3,Immediate Attention
36,Hypertension,4,1,2,Preventive
36,Stroke,1,0,1,Moderate Monitoring
36,Stroke,2,1,0,High Monitoring
36,Stroke,3,0,3,Immediate Attention
36,Stroke,4,1,2,Preventive
36,Kidney Disease,1,0,1,Moderate Monitoring
36,Kidney Disease,2,1,0,High Monitoring
36,Kidney Disease,3,0,3,Immediate Attention
36,Kidney Disease,4,1,2,Preventive
36,Liver Disease,1,0,1,Moderate Monitoring
36,Liver Disease,2,1,0,High Monitoring
36,Liver Disease,3,0,3,Immediate Attention
36,Liver Disease,4,1,2,Preventive
36,Respiratory Disorder,1,0,1,Moderate Monitoring
36,Respiratory Disorder,2,1,0,High Monitoring
36,Respiratory Disorder,3,0,3,Immediate Attention
36,Respiratory Disorder,4,1,2,Preventive
36,Cancer,1,0,1,Moderate Monitoring
36,Cancer,2,1,0,High Monitoring
36,Cancer,3,0,3,Immediate Attention
36,Cancer,4,1,2,Preventive
36,Obesity,1,0,1,Moderate Monitoring
36,Obesity,2,1,0,High Monitoring
36,Obesity,3,0,3,Immediate Attention
36,Obesity,4,1,2,Preventive
36,Depression,1,0,1,Moderate Monitoring
36,Depression,2,1,0,High Monitoring
36,Depression,3,0,3,Immediate Attention
36,Depression,4,1,2,Preventive
36,Anxiety,1,0,1,Moderate Monitoring
36,Anxiety,2,1,0,High Monitoring
36,Anxiety,3,0,3,Immediate Attention
36,Anxiety,4,1,2,Preventive
36,Infection Risk,1,0,1,Moderate Monitoring
36,Infection Risk,2,1,0,High Monitoring
36,Infection Risk,3,0,3,Immediate Attention
36,Infection Risk,4,1,2,Preventive
36,Metabolic Disorder,1,0,1,Moderate Monitoring
36,Metabolic Disorder,2,1,0,High Monitoring
36,Metabolic Disorder,3,0,3,Immediate Attention
36,Metabolic Disorder,4,1,2,Preventive
36,Autoimmune Disease,1,0,1,Moderate Monitoring
36,Autoimmune Disease,2,1,0,High Monitoring
36,Autoimmune Disease,3,0,3,Immediate Attention
36,Autoimmune Disease,4,1,2,Preventive
36,Hormonal Disorder,1,0,1,Moderate Monitoring
36,Hormonal Disorder,2,1,0,High Monitoring
36,Hormonal Disorder,3,0,3,Immediate Attention
36,Hormonal Disorder,4,1,2,Preventive
27,Heart Disease,1,0,1,Moderate Monitoring
27,Heart Disease,2,1,0,High Monitoring
27,Heart Disease,3,0,3,Immediate Attention
27,Heart Disease,4,1,2,Preventive
27,Diabetes,1,0,1,Moderate Monitoring
27,Diabetes,2,1,0,High Monitoring
27,Diabetes,3,0,3,Immediate Attention
27,Diabetes,4,1,2,Preventive
27,Hypertension,1,0,1,Moderate Monitoring
27,Hypertension,2,1,0,High Monitoring
27,Hypertension,3,0,3,Immediate Attention
27,Hypertension,4,1,2,Preventive
27,Stroke,1,0,1,Moderate Monitoring
27,Stroke,2,1,0,High Monitoring
27,Stroke,3,0,3,Immediate Attention
27,Stroke,4,1,2,Preventive
27,Kidney Disease,1,0,1,Moderate Monitoring
27,Kidney Disease,2,1,0,High Monitoring
27,Kidney Disease,3,0,3,Immediate Attention
27,Kidney Disease,4,1,2,Preventive
27,Liver Disease,1,0,1,Moderate Monitoring
27,Liver Disease,2,1,0,High Monitoring
27,Liver Disease,3,0,3,Immediate Attention
27,Liver Disease,4,1,2,Preventive
27,Respiratory Disorder,1,0,1,Moderate Monitoring
27,Respiratory Disorder,2,1,0,High Monitoring
27,Respiratory Disorder,3,0,3,Immediate Attention
27,Respiratory Disorder,4,1,2,Preventive
27,Cancer,1,0,1,Moderate Monitoring
27,Cancer,2,1,0,High Monitoring
27,Cancer,3,0,3,Immediate Attention
27,Cancer,4,1,2,Preventive
27,Obesity,1,0,1,Moderate Monitoring
27,Obesity,2,1,0,High Monitoring
27,Obesity,3,0,3,Immediate Attention
27,Obesity,4,1,2,Preventive
27,Depression,1,0,1,Moderate Monitoring
