disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Diabetes ,11,46,39,24,17,1, vomiting +  breathlessness,"Heart attack, hepatitis A, Peptic ulcer diseae",3,7
Diabetes ,11,46,39,24,17,1, chest_pain +  dizziness,"Hypertension , Fungal infection, Heart attack",6,7
Diabetes ,31,32,28,21,1,21, fatigue +  weight_gain,"Hypothyroidism, GERD, Acne",5,7
Diabetes ,11,32,28,21,1,21, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Tuberculosis, Chronic cholestasis",1,7
Diabetes ,11,46,28,21,1,21, vomiting +  yellowish_skin,"Alcoholic hepatitis, Dimorphic hemmorhoids(piles), Chronic cholestasis",9,7
Diabetes ,11,46,39,21,1,21, fatigue +  weight_loss,"Diabetes , Acne, Chronic cholestasis",1,7
Diabetes ,11,46,39,24,1,21, joint_pain +  vomiting,"Hepatitis D, Psoriasis, Dimorphic hemmorhoids(piles)",4,7
Diabetes ,11,46,39,24,17,21, joint_pain +  neck_pain,"Osteoarthristis, Cervical spondylosis, Migraine",2,7
Diabetes ,11,46,39,24,17,1, continuous_sneezing +  chills,"Common Cold, Hyperthyroidism, Heart attack",1,7
Diabetes ,11,46,39,24,17,1, vomiting +  indigestion,"Peptic ulcer diseae, Urinary tract infection, Hypothyroidism",5,7
Gastroenteritis,28,38,16,10,12,20, vomiting +  headache,"Paralysis (brain hemorrhage), hepatitis A",1,7
Gastroenteritis,28,38,16,10,12,20, joint_pain +  neck_pain,"Osteoarthristis, Typhoid, Malaria",0,7
Gastroenteritis,27,13,17,19,12,20, vomiting +  sunken_eyes,"Gastroenteritis, Typhoid, Cervical spondylosis",6,7
Gastroenteritis,28,13,17,19,12,20,itching +  vomiting,"Jaundice, Pneumonia, Drug Reaction",4,7
Gastroenteritis,28,38,17,19,12,20, chills +  vomiting,"Tuberculosis, Hypertension , Drug Reaction",6,7
Gastroenteritis,28,38,16,19,12,20, continuous_sneezing +  chills,"Common Cold, Paralysis (brain hemorrhage), Peptic ulcer diseae",4,7
Gastroenteritis,28,38,16,10,12,20, fatigue +  mood_swings,"Hyperthyroidism, Hypoglycemia, Impetigo",1,7
Gastroenteritis,27,13,17,19,12,20, cough +  high_fever,"Bronchial Asthma, Peptic ulcer diseae",5,7
Gastroenteritis,28,13,17,19,12,20, joint_pain +  vomiting,"Hepatitis E, Impetigo, Jaundice",7,7
Gastroenteritis,28,38,17,19,12,20, continuous_sneezing +  shivering,"Allergy, Dimorphic hemmorhoids(piles), GERD",0,7
Bronchial Asthma,11,11,24,4,10,19, chills +  joint_pain,"Dengue, Hypertension , Peptic ulcer diseae",5,7
Bronchial Asthma,9,18,7,16,23,20, fatigue +  yellowish_skin,"Hepatitis C, Chronic cholestasis",8,7
Bronchial Asthma,11,18,7,16,23,20, vomiting +  fatigue,"Hypoglycemia, Cervical spondylosis, Hepatitis B",1,7
Bronchial Asthma,11,11,7,16,23,20, stomach_pain +  acidity,"GERD, Paralysis (brain hemorrhage), Common Cold",6,7
Bronchial Asthma,11,11,24,16,23,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Hepatitis E, Osteoarthristis",4,7
Bronchial Asthma,11,11,24,4,23,20, fatigue +  cough,"Bronchial Asthma, Pneumonia, Hepatitis D",1,7
Bronchial Asthma,11,11,24,4,10,20,itching +  skin_rash,"Drug Reaction, Hepatitis E, hepatitis A",2,7
Bronchial Asthma,11,11,24,4,10,19,itching +  skin_rash,"Drug Reaction, Dimorphic hemmorhoids(piles), Paralysis (brain hemorrhage)",4,7
Bronchial Asthma,9,18,7,16,23,20, breathlessness +  sweating,"Heart attack, Tuberculosis, Fungal infection",4,7
Bronchial Asthma,11,18,7,16,23,20, continuous_sneezing +  shivering,"Allergy, Peptic ulcer diseae, Hepatitis E",6,7
Hypertension ,12,8,19,26,19,20, burning_micturition +  bladder_discomfort,"Urinary tract infection, Hepatitis E, Hepatitis D",0,7
Hypertension ,5,14,30,23,12,20, skin_rash +  pus_filled_pimples,"Acne, Hepatitis B, Allergy",6,7
Hypertension ,12,14,30,23,12,20, joint_pain +  vomiting,"Hepatitis E, Urinary tract infection, Hepatitis C",7,7
Hypertension ,12,8,30,23,12,20, fatigue +  weight_loss,"Diabetes , Dengue, Tuberculosis",6,7
Hypertension ,12,8,19,23,12,20,itching +  vomiting,"Jaundice, Heart attack, (vertigo) Paroymsal  Positional Vertigo",1,7
Hypertension ,12,8,19,26,12,20, skin_rash +  chills,"Dengue, Drug Reaction, Paralysis (brain hemorrhage)",0,7
Hypertension ,12,8,19,26,19,20, joint_pain +  vomiting,"hepatitis A, Hypoglycemia, Hyperthyroidism",5,7
Hypertension ,5,14,30,23,12,20, vomiting +  fatigue,"Hypoglycemia, Hepatitis B, Gastroenteritis",1,7
Hypertension ,12,14,30,23,12,20, muscle_wasting +  patches_in_throat,"AIDS, Chicken pox, Hepatitis B",6,7
Hypertension ,12,8,30,23,12,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Typhoid, Pneumonia",5,7
Migraine,0,19,23,3,9,25, continuous_sneezing +  shivering,"Allergy, Hepatitis C, Diabetes ",8,7
Migraine,14,17,6,14,29,6, muscle_weakness +  stiff_neck,"Arthritis, Pneumonia",1,7
Migraine,0,17,6,14,29,6, chills +  vomiting,"Malaria, Paralysis (brain hemorrhage), Acne",5,7
Migraine,0,19,6,14,29,6, stomach_pain +  acidity,"GERD, Acne, Malaria",4,7
Migraine,0,19,23,14,29,6, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Cervical spondylosis, Allergy",9,7
Migraine,0,19,23,3,29,6, vomiting +  yellowish_skin,"Chronic cholestasis, Hepatitis E, Pneumonia",9,7
Migraine,0,19,23,3,9,6, chills +  vomiting,"Typhoid, Cervical spondylosis, Impetigo",1,7
Migraine,0,19,23,3,9,25, skin_rash +  pus_filled_pimples,"Acne, Migraine, Pneumonia",1,7
Migraine,0,19,23,3,9,25, chills +  vomiting,"Tuberculosis, Paralysis (brain hemorrhage), Varicose veins",4,7
Migraine,0,19,23,3,9,25, muscle_weakness +  stiff_neck,"Arthritis, Peptic ulcer diseae, Common Cold",1,7
Cervical spondylosis,1,43,34,13,22,20, fatigue +  yellowish_skin,"Hepatitis C, AIDS, Typhoid",5,7
Cervical spondylosis,1,43,34,13,22,20, chills +  vomiting,"Tuberculosis, Hypoglycemia, Alcoholic hepatitis",8,7
Cervical spondylosis,29,26,19,26,12,20,itching +  vomiting,"Chronic cholestasis, Chicken pox, Varicose veins",5,7
Cervical spondylosis,1,26,19,26,12,20, fatigue +  weight_gain,"Hypothyroidism, Drug Reaction, Fungal infection",0,7
Cervical spondylosis,1,43,19,26,12,20,itching +  fatigue,"Hepatitis B, Varicose veins, Hepatitis E",7,7
Cervical spondylosis,1,43,34,26,12,20, yellowish_skin +  nausea,"Hepatitis C, Drug Reaction, Diabetes ",1,7
Cervical spondylosis,1,43,34,13,12,20,itching +  vomiting,"Jaundice, Hyperthyroidism, Peptic ulcer diseae",4,7
Cervical spondylosis,1,43,34,13,22,20, fatigue +  cramps,"Varicose veins, (vertigo) Paroymsal  Positional Vertigo, AIDS",4,7
Cervical spondylosis,29,26,19,26,12,20, joint_pain +  vomiting,"Hepatitis E, Cervical spondylosis, Acne",7,7
Cervical spondylosis,1,26,19,26,12,20, chills +  vomiting,"Tuberculosis, Hepatitis C, Hepatitis E",0,7
Paralysis (brain hemorrhage),28,17,51,1,12,20, acidity +  indigestion,"Migraine, Common Cold, Drug Reaction",9,7
Paralysis (brain hemorrhage),28,17,51,1,12,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Hepatitis C, Hyperthyroidism",0,7
Paralysis (brain hemorrhage),12,44,1,19,12,20, muscle_wasting +  high_fever,"AIDS, Paralysis (brain hemorrhage), Alcoholic hepatitis",4,7
Paralysis (brain hemorrhage),28,44,1,19,12,20, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Bronchial Asthma, Gastroenteritis",1,7
Paralysis (brain hemorrhage),28,17,1,19,12,20, stomach_pain +  acidity,"GERD, Hepatitis B, Pneumonia",6,7
Paralysis (brain hemorrhage),28,17,51,19,12,20, vomiting +  headache,"Paralysis (brain hemorrhage), Common Cold, Peptic ulcer diseae",0,7
Paralysis (brain hemorrhage),28,17,51,1,12,20, chills +  vomiting,"Tuberculosis, Psoriasis, Diabetes ",5,7
Paralysis (brain hemorrhage),12,44,1,19,12,20, chills +  vomiting,"Typhoid, Hypoglycemia, Hepatitis E",7,7
Paralysis (brain hemorrhage),28,44,1,19,12,20, continuous_sneezing +  chills,"Common Cold, Typhoid, Chicken pox",4,7
Paralysis (brain hemorrhage),28,17,1,19,12,20, fatigue +  cramps,"Varicose veins, Hypertension , Fungal infection",1,7
Jaundice,33,42,21,46,13,31,itching +  vomiting,"Jaundice, Fungal infection, Hepatitis C",9,7
Jaundice,33,42,21,46,13,31, stomach_pain +  acidity,"GERD, (vertigo) Paroymsal  Positional Vertigo, Dengue",9,7
Jaundice,28,15,52,19,37,5, skin_rash +  high_fever,"Impetigo, Pneumonia, Chronic cholestasis",9,7
Jaundice,33,15,52,19,37,5, constipation +  pain_in_anal_region,"Dimorphic hemmorhoids(piles), Hepatitis D, Impetigo",3,7
Jaundice,33,42,52,19,37,5,itching +  vomiting,"Jaundice, Chicken pox, Hypothyroidism",5,7
Jaundice,33,42,21,19,37,5, chills +  vomiting,"Malaria, Jaundice, AIDS",7,7
Jaundice,33,42,21,46,37,5, stiff_neck +  swelling_joints,"Arthritis, Varicose veins, Drug Reaction",3,7
Jaundice,33,42,21,46,13,5, joint_pain +  vomiting,"Hepatitis E, Tuberculosis, Acne",4,7
Jaundice,33,42,21,46,13,31,itching +  skin_rash,"Chicken pox, Hepatitis C, Impetigo",0,7
Jaundice,33,42,21,46,13,31,itching +  skin_rash,"Fungal infection, Hepatitis B, Hepatitis E",0,7
Malaria,6,42,24,40,12,20, fatigue +  cough,"Bronchial Asthma, Jaundice, Malaria",4,7
Malaria,6,42,24,40,12,20, fatigue +  weight_loss,"Diabetes , Malaria, Dengue",5,7
Malaria,6,42,24,40,12,20, skin_rash +  chills,"Dengue, Heart attack, Hyperthyroidism",9,7
Malaria,28,18,45,18,24,7, skin_rash +  high_fever,"Impetigo, Migraine, Hypertension ",7,7
Malaria,6,18,45,18,24,7, fatigue +  weight_loss,"Diabetes , GERD, Malaria",7,7
Malaria,6,42,45,18,24,7, joint_pain +  vomiting,"hepatitis A, Hypothyroidism, Hypertension ",0,7
Malaria,6,42,24,18,24,7, chills +  vomiting,"Malaria, Arthritis, Tuberculosis",1,7
Malaria,6,42,24,40,24,7, chills +  fatigue,"Pneumonia, Hepatitis B, GERD",0,7
Malaria,6,42,24,40,12,7, vomiting +  indigestion,"Peptic ulcer diseae, Dimorphic hemmorhoids(piles), Pneumonia",6,7
Malaria,6,42,24,40,12,20, vomiting +  breathlessness,"Heart attack, Cervical spondylosis, Urinary tract infection",5,7
Chicken pox,33,35,21,24,13,12, burning_micturition +  bladder_discomfort,"Urinary tract infection, Dengue, Chronic cholestasis",5,7
Chicken pox,24,15,28,19,12,17, joint_pain +  neck_pain,"Osteoarthristis, Tuberculosis, hepatitis A",4,7
Chicken pox,33,15,28,19,12,17,itching +  skin_rash,"Chicken pox, Peptic ulcer diseae, Hepatitis E",6,7
Chicken pox,33,35,28,19,12,17, muscle_wasting +  patches_in_throat,"AIDS, (vertigo) Paroymsal  Positional Vertigo, Cervical spondylosis",3,7
Chicken pox,33,35,21,19,12,17, headache +  chest_pain,"Hypertension , Hepatitis B, Chronic cholestasis",0,7
Chicken pox,33,35,21,24,12,17, burning_micturition +  bladder_discomfort,"Urinary tract infection, Osteoarthristis, Alcoholic hepatitis",5,7
Chicken pox,33,35,21,24,13,17, skin_rash +  blackheads,"Acne, Varicose veins, GERD",7,7
Chicken pox,33,35,21,24,13,12, muscle_wasting +  patches_in_throat,"AIDS, Hypertension , Varicose veins",5,7
Chicken pox,33,35,21,24,13,12, skin_rash +  blister,"Impetigo, Hepatitis E, GERD",1,7
Chicken pox,33,35,21,24,13,12,itching +  skin_rash,"Drug Reaction, Osteoarthristis, Peptic ulcer diseae",1,7
Dengue,24,9,26,44,11,13, fatigue +  mood_swings,"Hyperthyroidism, Paralysis (brain hemorrhage), Hepatitis C",2,7
Dengue,24,9,26,44,11,13, stomach_pain +  acidity,"GERD, Drug Reaction, Hepatitis B",6,7
Dengue,24,9,26,44,11,13, joint_pain +  vomiting,"Hepatitis E, Dimorphic hemmorhoids(piles), Urinary tract infection",2,7
Dengue,24,9,26,44,11,13, vomiting +  yellowish_skin,"Alcoholic hepatitis, GERD, Allergy",0,7
Dengue,6,20,49,17,13,12, muscle_weakness +  stiff_neck,"Arthritis, GERD, Chronic cholestasis",0,7
Dengue,24,20,49,17,13,12, chills +  vomiting,"Malaria, AIDS, Pneumonia",3,7
Dengue,24,9,49,17,13,12, fatigue +  weight_loss,"Hyperthyroidism, Hepatitis E, Dengue",5,7
Dengue,24,9,26,17,13,12, vomiting +  indigestion,"Peptic ulcer diseae, Arthritis, Tuberculosis",1,7
Dengue,24,9,26,44,13,12, chills +  fatigue,"Common Cold, Arthritis, Chicken pox",0,7
Dengue,24,9,26,44,11,12,itching +  fatigue,"Hepatitis B, Paralysis (brain hemorrhage), Cervical spondylosis",5,7
Typhoid,6,42,21,19,24,4,itching +  fatigue,"Hepatitis B, Jaundice, Varicose veins",5,7
Typhoid,6,42,21,19,12,4, headache +  chest_pain,"Hypertension , Peptic ulcer diseae, Urinary tract infection",7,7
Typhoid,6,42,21,19,12,20, joint_pain +  vomiting,"hepatitis A, Psoriasis, Heart attack",4,7
Typhoid,6,42,21,19,12,20, skin_rash +  pus_filled_pimples,"Acne, Heart attack, Varicose veins",7,7
Typhoid,6,42,21,19,12,20, muscle_weakness +  stiff_neck,"Arthritis, Hepatitis D, Migraine",1,7
Typhoid,6,42,21,19,12,20, headache +  dizziness,"Hypertension , Paralysis (brain hemorrhage), Hyperthyroidism",0,7
Typhoid,6,42,21,19,12,20, burning_micturition +  bladder_discomfort,"Urinary tract infection, Fungal infection, Hepatitis B",8,7
Typhoid,6,42,21,19,12,20, continuous_sneezing +  chills,"Common Cold, Impetigo, Hypertension ",9,7
Typhoid,6,42,21,19,12,20, headache +  dizziness,"Hypertension , Alcoholic hepatitis, Chicken pox",0,7
Typhoid,6,15,24,18,24,4, fatigue +  yellowish_skin,"Hepatitis C, Cervical spondylosis, Tuberculosis",7,7
hepatitis A,15,42,53,9,24,17, acidity +  indigestion,"Migraine, Arthritis, Impetigo",5,7
hepatitis A,15,42,53,9,24,17, fatigue +  mood_swings,"Hyperthyroidism, Drug Reaction, Heart attack",3,7
hepatitis A,28,47,15,29,21,0, fatigue +  weight_loss,"Diabetes , Chronic cholestasis, Hypoglycemia",4,7
hepatitis A,15,47,15,29,21,0, fatigue +  weight_gain,"Hypothyroidism, Fungal infection, AIDS",7,7
hepatitis A,15,42,15,29,21,0, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Hepatitis E",9,7
hepatitis A,15,42,53,29,21,0, fatigue +  cramps,"Varicose veins, AIDS, Migraine",4,7
hepatitis A,15,42,53,9,21,0, chest_pain +  dizziness,"Hypertension , Acne, Pneumonia",1,7
hepatitis A,15,42,53,9,24,0, skin_rash +  chills,"Dengue, (vertigo) Paroymsal  Positional Vertigo, Gastroenteritis",4,7
hepatitis A,15,42,53,9,24,17, back_pain +  weakness_in_limbs,"Cervical spondylosis, Hyperthyroidism, Dengue",1,7
hepatitis A,15,42,53,9,24,17, joint_pain +  vomiting,"hepatitis A, Dimorphic hemmorhoids(piles), Psoriasis",4,7
Hepatitis B,33,15,28,49,5,17, vomiting +  sweating,"Heart attack, Psoriasis, Migraine",5,7
Hepatitis B,33,15,28,49,5,17,itching +  skin_rash,"Fungal infection, Peptic ulcer diseae, Gastroenteritis",4,7
Hepatitis B,11,22,53,9,21,0, skin_rash +  pus_filled_pimples,"Acne, hepatitis A",1,7
Hepatitis B,33,22,53,9,21,0, stomach_pain +  ulcers_on_tongue,"GERD, Dengue, Cervical spondylosis",0,7
Hepatitis B,33,15,53,9,21,0, skin_rash +  pus_filled_pimples,"Acne, Migraine, Hypertension ",0,7
Hepatitis B,33,15,28,9,21,0, joint_pain +  vomiting,"Hepatitis E, AIDS, Osteoarthristis",3,7
Hepatitis B,33,15,28,49,21,0, cough +  high_fever,"Bronchial Asthma, Hepatitis E",5,7
Hepatitis B,33,15,28,49,5,0, vomiting +  breathlessness,"Heart attack, Dengue, Psoriasis",6,7
Hepatitis B,33,15,28,49,5,17, chills +  vomiting,"Malaria, Typhoid, Psoriasis",6,7
Hepatitis B,33,15,28,49,5,17,itching +  skin_rash,"Fungal infection, Hypoglycemia, AIDS",9,7
Hepatitis C,11,47,33,25,10,20, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), GERD, Varicose veins",2,7
Hepatitis C,11,47,33,25,36,9, joint_pain +  neck_pain,"Osteoarthristis, Urinary tract infection",3,7
Hepatitis C,32,25,29,48,10,20, fatigue +  mood_swings,"Hyperthyroidism, Fungal infection, Hypertension ",5,7
Hepatitis C,11,25,29,48,10,20,itching +  skin_rash,"Chicken pox, Fungal infection",1,7
Hepatitis C,11,47,29,48,10,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Acne, Hepatitis E",5,7
Hepatitis C,11,47,33,48,10,20, fatigue +  cough,"Bronchial Asthma, Urinary tract infection, Heart attack",7,7
Hepatitis C,11,47,33,25,10,20, joint_pain +  vomiting,"hepatitis A, Paralysis (brain hemorrhage), Heart attack",5,7
Hepatitis C,11,47,33,25,36,20, fatigue +  yellowish_skin,"Hepatitis C, Hyperthyroidism, Cervical spondylosis",1,7
Hepatitis C,11,47,33,25,36,9, skin_rash +  joint_pain,"Psoriasis, Heart attack, Fungal infection",9,7
Hepatitis C,11,47,33,25,36,9,itching +  vomiting,"Chronic cholestasis, Varicose veins, Cervical spondylosis",5,7
Hepatitis D,15,42,21,49,5,20, fatigue +  yellowish_skin,"Hepatitis C, Hepatitis B, Urinary tract infection",5,7
Hepatitis D,28,15,53,9,24,17, fatigue +  cough,"Bronchial Asthma, Diabetes , Dengue",0,7
Hepatitis D,15,15,53,9,24,17, continuous_sneezing +  shivering,"Allergy, Bronchial Asthma, Heart attack",0,7
Hepatitis D,15,42,53,9,24,17, vomiting +  indigestion,"Peptic ulcer diseae, Pneumonia",3,7
Hepatitis D,15,42,21,9,24,17, chills +  vomiting,"Typhoid, Allergy, Cervical spondylosis",5,7
Hepatitis D,15,42,21,49,24,17, joint_pain +  vomiting,"hepatitis A, Pneumonia, GERD",4,7
Hepatitis D,15,42,21,49,5,17, skin_rash +  high_fever,"Impetigo, GERD, Osteoarthristis",5,7
Hepatitis D,15,42,21,49,5,20, fatigue +  cramps,"Varicose veins, Alcoholic hepatitis, Allergy",6,7
Hepatitis D,15,42,21,49,5,20, acidity +  indigestion,"Migraine, Dengue, Diabetes ",0,7
Hepatitis D,15,42,21,49,5,20, vomiting +  headache,"Paralysis (brain hemorrhage), Dengue, Hypoglycemia",1,7
Hepatitis E,15,42,21,19,37,5,itching +  skin_rash,"Fungal infection, Paralysis (brain hemorrhage)",1,7
Hepatitis E,15,42,21,19,37,5, chest_pain +  dizziness,"Hypertension , Pneumonia, Typhoid",8,7
Hepatitis E,15,42,21,19,37,5, skin_rash +  high_fever,"Impetigo, AIDS, Bronchial Asthma",3,7
Hepatitis E,28,15,24,49,5,20,itching +  skin_rash,"Drug Reaction, Heart attack, Bronchial Asthma",7,7
Hepatitis E,15,15,24,49,5,20, fatigue +  weight_loss,"Diabetes , Dengue, (vertigo) Paroymsal  Positional Vertigo",8,7
Hepatitis E,15,42,24,49,5,20, muscle_wasting +  patches_in_throat,"AIDS, GERD, Alcoholic hepatitis",6,7
Hepatitis E,15,42,21,49,5,20,itching +  vomiting,"Chronic cholestasis, Hypothyroidism, Common Cold",9,7
Hepatitis E,15,42,21,19,5,20, vomiting +  fatigue,"Jaundice, Migraine, Hepatitis B",5,7
Hepatitis E,15,42,21,19,37,20, fatigue +  weight_loss,"Diabetes , Dengue, Chicken pox",2,7
Hepatitis E,15,42,21,19,37,5, acidity +  indigestion,"Migraine, Urinary tract infection, Hypoglycemia",5,7
Alcoholic hepatitis,28,47,0,42,7,14, muscle_wasting +  patches_in_throat,"AIDS, Peptic ulcer diseae, Hypertension ",0,7
Alcoholic hepatitis,28,47,0,42,7,14,itching +  fatigue,"Hepatitis B, GERD, Hyperthyroidism",4,7
Alcoholic hepatitis,32,0,47,12,14,11, continuous_sneezing +  chills,"Common Cold, Bronchial Asthma, Drug Reaction",1,7
Alcoholic hepatitis,28,0,47,12,14,11, fatigue +  weight_loss,"Diabetes , Impetigo, Psoriasis",7,7
Alcoholic hepatitis,28,47,47,12,14,11, chills +  vomiting,"Typhoid, Arthritis, Alcoholic hepatitis",3,7
Alcoholic hepatitis,28,47,0,12,14,11, chills +  vomiting,"Typhoid, Hepatitis B, Jaundice",5,7
Alcoholic hepatitis,28,47,0,42,14,11, headache +  weakness_of_one_body_side,"Paralysis (brain hemorrhage), Acne, Hepatitis D",2,7
Alcoholic hepatitis,28,47,0,42,7,11, skin_rash +  joint_pain,"Psoriasis, Peptic ulcer diseae, Gastroenteritis",0,7
Alcoholic hepatitis,28,47,0,42,7,14,itching +  skin_rash,"Fungal infection, (vertigo) Paroymsal  Positional Vertigo, Hepatitis D",5,7
Alcoholic hepatitis,28,47,0,42,7,14, skin_rash +  joint_pain,"Psoriasis, Hepatitis D, Heart attack",5,7
Tuberculosis,6,42,21,46,4,13, skin_rash +  pus_filled_pimples,"Acne, Fungal infection, Hepatitis E",7,7
Tuberculosis,6,42,21,46,4,13, chills +  fatigue,"Pneumonia, Allergy, Gastroenteritis",7,7
Tuberculosis,28,15,52,8,13,2, joint_pain +  vomiting,"Hepatitis D, Jaundice, hepatitis A",4,7
Tuberculosis,6,15,52,8,13,2, vomiting +  yellowish_skin,"Alcoholic hepatitis, Psoriasis, Pneumonia",0,7
Tuberculosis,6,42,52,8,13,2, joint_pain +  neck_pain,"Osteoarthristis, Drug Reaction, Pneumonia",6,7
Tuberculosis,6,42,21,8,13,2, fatigue +  cough,"Bronchial Asthma, Common Cold, Chronic cholestasis",2,7
Tuberculosis,6,42,21,46,13,2, chills +  vomiting,"Tuberculosis, AIDS, hepatitis A",9,7
Tuberculosis,6,42,21,46,4,2, joint_pain +  neck_pain,"Osteoarthristis, Drug Reaction, Tuberculosis",9,7
Tuberculosis,6,42,21,46,4,13, skin_rash +  joint_pain,"Dengue, Hepatitis D, Common Cold",6,7
Tuberculosis,6,42,21,46,4,13, fatigue +  mood_swings,"Hyperthyroidism, Jaundice, Arthritis",6,7
Common Cold,8,9,21,8,13,12, skin_rash +  chills,"Dengue, Hypothyroidism, Varicose veins",5,7
Common Cold,8,9,21,8,13,12, fatigue +  weight_gain,"Hypothyroidism, Paralysis (brain hemorrhage), Gastroenteritis",9,7
Common Cold,6,15,14,19,12,27, skin_rash +  joint_pain,"Psoriasis, Paralysis (brain hemorrhage), Jaundice",6,7
Common Cold,8,15,14,19,12,27, fatigue +  cough,"Bronchial Asthma, Hepatitis C, Psoriasis",0,7
Common Cold,8,9,14,19,12,27,itching +  skin_rash,"Drug Reaction, (vertigo) Paroymsal  Positional Vertigo, Fungal infection",5,7
Common Cold,8,9,21,19,12,27,itching +  skin_rash,"Fungal infection, Common Cold, Tuberculosis",2,7
Common Cold,8,9,21,8,12,27, chills +  vomiting,"Typhoid, Drug Reaction, Hepatitis C",1,7
Common Cold,8,9,21,8,13,27, vomiting +  sunken_eyes,"Gastroenteritis, Urinary tract infection, Paralysis (brain hemorrhage)",4,7
Common Cold,8,9,21,8,13,12, high_fever +  blister,"Impetigo, Malaria, Migraine",4,7
Common Cold,8,9,21,8,13,12, indigestion +  loss_of_appetite,"Peptic ulcer diseae, Impetigo, Acne",1,7
Pneumonia,6,15,14,19,2,26,itching +  vomiting,"Chronic cholestasis, (vertigo) Paroymsal  Positional Vertigo, Impetigo",4,7
Pneumonia,6,15,14,19,2,26, vomiting +  headache,"Paralysis (brain hemorrhage), Arthritis, Dimorphic hemmorhoids(piles)",4,7
Pneumonia,6,15,14,19,2,26, joint_pain +  vomiting,"Hepatitis E, Hepatitis B, (vertigo) Paroymsal  Positional Vertigo",1,7
Pneumonia,11,11,24,4,30,18, joint_pain +  neck_pain,"Osteoarthristis, Fungal infection, Gastroenteritis",3,7
Pneumonia,6,11,24,4,30,18,itching +  skin_rash,"Drug Reaction, Osteoarthristis, AIDS",5,7
Pneumonia,6,15,24,4,30,18, weight_loss +  restlessness,"Diabetes , Impetigo, Dimorphic hemmorhoids(piles)",7,7
Pneumonia,6,15,14,4,30,18, vomiting +  sunken_eyes,"Gastroenteritis, Pneumonia, GERD",4,7
Pneumonia,6,15,14,19,30,18, vomiting +  breathlessness,"Heart attack, Cervical spondylosis, Migraine",0,7
Pneumonia,6,15,14,19,2,18, skin_rash +  joint_pain,"Psoriasis, Jaundice, Malaria",9,7
Pneumonia,6,15,14,19,2,26, joint_pain +  neck_pain,"Osteoarthristis, (vertigo) Paroymsal  Positional Vertigo, Tuberculosis",6,7
Dimorphic hemmorhoids(piles),7,28,37,2,18,20, vomiting +  breathlessness,"Heart attack, (vertigo) Paroymsal  Positional Vertigo, Acne",4,7
Dimorphic hemmorhoids(piles),7,28,37,2,18,20,itching +  vomiting,"Chronic cholestasis, Urinary tract infection, Heart attack",2,7
Dimorphic hemmorhoids(piles),7,28,37,2,18,20, fatigue +  mood_swings,"Hyperthyroidism, Varicose veins, Typhoid",2,7
Dimorphic hemmorhoids(piles),20,29,5,22,12,20,itching +  fatigue,"Hepatitis B, Hypertension , Chicken pox",1,7
Dimorphic hemmorhoids(piles),7,29,5,22,12,20, back_pain +  weakness_in_limbs,"Cervical spondylosis, Jaundice, Hypothyroidism",1,7
Dimorphic hemmorhoids(piles),7,28,5,22,12,20, skin_rash +  pus_filled_pimples,"Acne, Hypoglycemia, Psoriasis",9,7
Dimorphic hemmorhoids(piles),7,28,37,22,12,20, joint_pain +  neck_pain,"Osteoarthristis, GERD, (vertigo) Paroymsal  Positional Vertigo",0,7
Dimorphic hemmorhoids(piles),7,28,37,2,12,20, fatigue +  yellowish_skin,"Hepatitis C, Hepatitis E, Impetigo",4,7
Dimorphic hemmorhoids(piles),7,28,37,2,18,20, vomiting +  sunken_eyes,"Gastroenteritis, GERD, Migraine",4,7
Dimorphic hemmorhoids(piles),7,28,37,2,18,20, joint_pain +  vomiting,"Hepatitis E, Chronic cholestasis, Hypertension ",8,7
Heart attack,28,6,45,6,12,20, joint_pain +  neck_pain,"Osteoarthristis, Alcoholic hepatitis, GERD",3,7
Heart attack,28,6,45,6,12,20, joint_pain +  vomiting,"Hepatitis E, Acne, Hypertension ",1,7
Heart attack,3,39,10,19,12,20, high_fever +  blister,"Impetigo, Jaundice, Common Cold",5,7
Heart attack,28,39,10,19,12,20, continuous_sneezing +  fatigue,"Common Cold, Peptic ulcer diseae, Fungal infection",1,7
Heart attack,28,6,10,19,12,20, vomiting +  loss_of_appetite,"Peptic ulcer diseae, Hyperthyroidism, Dimorphic hemmorhoids(piles)",9,7
Heart attack,28,6,45,19,12,20,itching +  vomiting,"Jaundice, Chicken pox, Urinary tract infection",0,7
Heart attack,28,6,45,6,12,20, acidity +  indigestion,"Migraine, Bronchial Asthma, Common Cold",6,7
Heart attack,3,39,10,19,12,20, vomiting +  yellowish_skin,"Alcoholic hepatitis, Gastroenteritis, Diabetes ",5,7
