symptom,duration,interpretation,risk_level,clinical_category,emergency_flag,duration_score,temporal_severity_score
Breathlessness,6,Underlying disease progression,1,1,0,6,1
Joint Pain,5,Acute condition likely,2,2,1,5,2
Joint Pain,5,Possible infection,3,4,0,5,3
Joint Pain,5,Monitor symptoms,4,0,1,5,4
Joint Pain,5,Requires clinical evaluation,1,3,0,5,1
Joint Pain,5,Chronic condition suspected,2,1,1,5,2
Joint Pain,5,Emergency evaluation needed,3,2,0,5,3
Joint Pain,5,Lifestyle-related issue possible,4,4,1,5,4
Joint Pain,5,Underlying disease progression,1,0,0,5,1
Joint Pain,1,Acute condition likely,2,3,1,1,2
Joint Pain,1,Possible infection,3,1,0,1,3
Joint Pain,1,Monitor symptoms,4,2,1,1,4
Joint Pain,1,Requires clinical evaluation,1,4,0,1,1
Joint Pain,1,Chronic condition suspected,2,0,1,1,2
Joint Pain,1,Emergency evaluation needed,3,3,0,1,3
Joint Pain,1,Lifestyle-related issue possible,4,1,1,1,4
Joint Pain,1,Underlying disease progression,1,2,0,1,1
Joint Pain,4,Acute condition likely,2,4,1,4,2
Joint Pain,4,Possible infection,3,0,0,4,3
Joint Pain,4,Monitor symptoms,4,3,1,4,4
Joint Pain,4,Requires clinical evaluation,1,1,0,4,1
Joint Pain,4,Chronic condition suspected,2,2,1,4,2
Joint Pain,4,Emergency evaluation needed,3,4,0,4,3
Joint Pain,4,Lifestyle-related issue possible,4,0,1,4,4
Joint Pain,4,Underlying disease progression,1,3,0,4,1
Joint Pain,0,Acute condition likely,2,1,1,0,2
Joint Pain,0,Possible infection,3,2,0,0,3
Joint Pain,0,Monitor symptoms,4,4,1,0,4
Joint Pain,0,Requires clinical evaluation,1,0,0,0,1
Joint Pain,0,Chronic condition suspected,2,3,1,0,2
Joint Pain,0,Emergency evaluation needed,3,1,0,0,3
Joint Pain,0,Lifestyle-related issue possible,4,2,1,0,4
Joint Pain,0,Underlying disease progression,1,4,0,0,1
Joint Pain,3,Acute condition likely,2,0,1,3,2
Joint Pain,3,Possible infection,3,3,0,3,3
Joint Pain,3,Monitor symptoms,4,1,1,3,4
Joint Pain,3,Requires clinical evaluation,1,2,0,3,1
Joint Pain,3,Chronic condition suspected,2,4,1,3,2
Joint Pain,3,Emergency evaluation needed,3,0,0,3,3
Joint Pain,3,Lifestyle-related issue possible,4,3,1,3,4
Joint Pain,3,Underlying disease progression,1,1,0,3,1
Joint Pain,2,Acute condition likely,2,2,1,2,2
Joint Pain,2,Possible infection,3,4,0,2,3
Joint Pain,2,Monitor symptoms,4,0,1,2,4
Joint Pain,2,Requires clinical evaluation,1,3,0,2,1
Joint Pain,2,Chronic condition suspected,2,1,1,2,2
Joint Pain,2,Emergency evaluation needed,3,2,0,2,3
Joint Pain,2,Lifestyle-related issue possible,4,4,1,2,4
Joint Pain,2,Underlying disease progression,1,0,0,2,1
Joint Pain,6,Acute condition likely,2,3,1,6,2
Joint Pain,6,Possible infection,3,1,0,6,3
Joint Pain,6,Monitor symptoms,4,2,1,6,4
Joint Pain,6,Requires clinical evaluation,1,4,0,6,1
Joint Pain,6,Chronic condition suspected,2,0,1,6,2
Joint Pain,6,Emergency evaluation needed,3,3,0,6,3
Joint Pain,6,Lifestyle-related issue possible,4,1,1,6,4
Joint Pain,6,Underlying disease progression,1,2,0,6,1
Back Pain,5,Acute condition likely,2,4,1,5,2
Back Pain,5,Possible infection,3,0,0,5,3
Back Pain,5,Monitor symptoms,4,3,1,5,4
Back Pain,5,Requires clinical evaluation,1,1,0,5,1
Back Pain,5,Chronic condition suspected,2,2,1,5,2
Back Pain,5,Emergency evaluation needed,3,4,0,5,3
Back Pain,5,Lifestyle-related issue possible,4,0,1,5,4
Back Pain,5,Underlying disease progression,1,3,0,5,1
Back Pain,1,Acute condition likely,2,1,1,1,2
Back Pain,1,Possible infection,3,2,0,1,3
Back Pain,1,Monitor symptoms,4,4,1,1,4
Back Pain,1,Requires clinical evaluation,1,0,0,1,1
Back Pain,1,Chronic condition suspected,2,3,1,1,2
Back Pain,1,Emergency evaluation needed,3,1,0,1,3
Back Pain,1,Lifestyle-related issue possible,4,2,1,1,4
Back Pain,1,Underlying disease progression,1,4,0,1,1
Back Pain,4,Acute condition likely,2,0,1,4,2
Back Pain,4,Possible infection,3,3,0,4,3
Back Pain,4,Monitor symptoms,4,1,1,4,4
Back Pain,4,Requires clinical evaluation,1,2,0,4,1
Back Pain,4,Chronic condition suspected,2,4,1,4,2
Back Pain,4,Emergency evaluation needed,3,0,0,4,3
Back Pain,4,Lifestyle-related issue possible,4,3,1,4,4
Back Pain,4,Underlying disease progression,1,1,0,4,1
Back Pain,0,Acute condition likely,2,2,1,0,2
Back Pain,0,Possible infection,3,4,0,0,3
Back Pain,0,Monitor symptoms,4,0,1,0,4
Back Pain,0,Requires clinical evaluation,1,3,0,0,1
Back Pain,0,Chronic condition suspected,2,1,1,0,2
Back Pain,0,Emergency evaluation needed,3,2,0,0,3
Back Pain,0,Lifestyle-related issue possible,4,4,1,0,4
Back Pain,0,Underlying disease progression,1,0,0,0,1
Back Pain,3,Acute condition likely,2,3,1,3,2
Back Pain,3,Possible infection,3,1,0,3,3
Back Pain,3,Monitor symptoms,4,2,1,3,4
Back Pain,3,Requires clinical evaluation,1,4,0,3,1
Back Pain,3,Chronic condition suspected,2,0,1,3,2
Back Pain,3,Emergency evaluation needed,3,3,0,3,3
Back Pain,3,Lifestyle-related issue possible,4,1,1,3,4
Back Pain,3,Underlying disease progression,1,2,0,3,1
Back Pain,2,Acute condition likely,2,4,1,2,2
Back Pain,2,Possible infection,3,0,0,2,3
Back Pain,2,Monitor symptoms,4,3,1,2,4
Back Pain,2,Requires clinical evaluation,1,1,0,2,1
Back Pain,2,Chronic condition suspected,2,2,1,2,2
Back Pain,2,Emergency evaluation needed,3,4,0,2,3
Back Pain,2,Lifestyle-related issue possible,4,0,1,2,4
Back Pain,2,Underlying disease progression,1,3,0,2,1
Back Pain,6,Acute condition likely,2,1,1,6,2
Back Pain,6,Possible infection,3,2,0,6,3
Back Pain,6,Monitor symptoms,4,4,1,6,4
Back Pain,6,Requires clinical evaluation,1,0,0,6,1
Back Pain,6,Chronic condition suspected,2,3,1,6,2
Back Pain,6,Emergency evaluation needed,3,1,0,6,3
Back Pain,6,Lifestyle-related issue possible,4,2,1,6,4
Back Pain,6,Underlying disease progression,1,4,0,6,1
Dizziness,5,Acute condition likely,2,0,1,5,2
Dizziness,5,Possible infection,3,3,0,5,3
Dizziness,5,Monitor symptoms,4,1,1,5,4
Dizziness,5,Requires clinical evaluation,1,2,0,5,1
Dizziness,5,Chronic condition suspected,2,4,1,5,2
Dizziness,5,Emergency evaluation needed,3,0,0,5,3
Dizziness,5,Lifestyle-related issue possible,4,3,1,5,4
Dizziness,5,Underlying disease progression,1,1,0,5,1
Dizziness,1,Acute condition likely,2,2,1,1,2
Dizziness,1,Possible infection,3,4,0,1,3
Dizziness,1,Monitor symptoms,4,0,1,1,4
Dizziness,1,Requires clinical evaluation,1,3,0,1,1
Dizziness,1,Chronic condition suspected,2,1,1,1,2
Dizziness,1,Emergency evaluation needed,3,2,0,1,3
Dizziness,1,Lifestyle-related issue possible,4,4,1,1,4
Dizziness,1,Underlying disease progression,1,0,0,1,1
Dizziness,4,Acute condition likely,2,3,1,4,2
Dizziness,4,Possible infection,3,1,0,4,3
Dizziness,4,Monitor symptoms,4,2,1,4,4
Dizziness,4,Requires clinical evaluation,1,4,0,4,1
Dizziness,4,Chronic condition suspected,2,0,1,4,2
Dizziness,4,Emergency evaluation needed,3,3,0,4,3
Dizziness,4,Lifestyle-related issue possible,4,1,1,4,4
Dizziness,4,Underlying disease progression,1,2,0,4,1
Dizziness,0,Acute condition likely,2,4,1,0,2
Dizziness,0,Possible infection,3,0,0,0,3
Dizziness,0,Monitor symptoms,4,3,1,0,4
Dizziness,0,Requires clinical evaluation,1,1,0,0,1
Dizziness,0,Chronic condition suspected,2,2,1,0,2
Dizziness,0,Emergency evaluation needed,3,4,0,0,3
Dizziness,0,Lifestyle-related issue possible,4,0,1,0,4
Dizziness,0,Underlying disease progression,1,3,0,0,1
Dizziness,3,Acute condition likely,2,1,1,3,2
Dizziness,3,Possible infection,3,2,0,3,3
Dizziness,3,Monitor symptoms,4,4,1,3,4
Dizziness,3,Requires clinical evaluation,1,0,0,3,1
Dizziness,3,Chronic condition suspected,2,3,1,3,2
Dizziness,3,Emergency evaluation needed,3,1,0,3,3
Dizziness,3,Lifestyle-related issue possible,4,2,1,3,4
Dizziness,3,Underlying disease progression,1,4,0,3,1
Dizziness,2,Acute condition likely,2,0,1,2,2
Dizziness,2,Possible infection,3,3,0,2,3
Dizziness,2,Monitor symptoms,4,1,1,2,4
Dizziness,2,Requires clinical evaluation,1,2,0,2,1
Dizziness,2,Chronic condition suspected,2,4,1,2,2
Dizziness,2,Emergency evaluation needed,3,0,0,2,3
Dizziness,2,Lifestyle-related issue possible,4,3,1,2,4
Dizziness,2,Underlying disease progression,1,1,0,2,1
Dizziness,6,Acute condition likely,2,2,1,6,2
Dizziness,6,Possible infection,3,4,0,6,3
Dizziness,6,Monitor symptoms,4,0,1,6,4
Dizziness,6,Requires clinical evaluation,1,3,0,6,1
Dizziness,6,Chronic condition suspected,2,1,1,6,2
Dizziness,6,Emergency evaluation needed,3,2,0,6,3
Dizziness,6,Lifestyle-related issue possible,4,4,1,6,4
Dizziness,6,Underlying disease progression,1,0,0,6,1
Palpitations,5,Acute condition likely,2,3,1,5,2
Palpitations,5,Possible infection,3,1,0,5,3
Palpitations,5,Monitor symptoms,4,2,1,5,4
Palpitations,5,Requires clinical evaluation,1,4,0,5,1
Palpitations,5,Chronic condition suspected,2,0,1,5,2
Palpitations,5,Emergency evaluation needed,3,3,0,5,3
Palpitations,5,Lifestyle-related issue possible,4,1,1,5,4
Palpitations,5,Underlying disease progression,1,2,0,5,1
Palpitations,1,Acute condition likely,2,4,1,1,2
Palpitations,1,Possible infection,3,0,0,1,3
Palpitations,1,Monitor symptoms,4,3,1,1,4
Palpitations,1,Requires clinical evaluation,1,1,0,1,1
Palpitations,1,Chronic condition suspected,2,2,1,1,2
Palpitations,1,Emergency evaluation needed,3,4,0,1,3
Palpitations,1,Lifestyle-related issue possible,4,0,1,1,4
Palpitations,1,Underlying disease progression,1,3,0,1,1
Palpitations,4,Acute condition likely,2,1,1,4,2
Palpitations,4,Possible infection,3,2,0,4,3
Palpitations,4,Monitor symptoms,4,4,1,4,4
Palpitations,4,Requires clinical evaluation,1,0,0,4,1
Palpitations,4,Chronic condition suspected,2,3,1,4,2
Palpitations,4,Emergency evaluation needed,3,1,0,4,3
Palpitations,4,Lifestyle-related issue possible,4,2,1,4,4
Palpitations,4,Underlying disease progression,1,4,0,4,1
Palpitations,0,Acute condition likely,2,0,1,0,2
Palpitations,0,Possible infection,3,3,0,0,3
Palpitations,0,Monitor symptoms,4,1,1,0,4
Palpitations,0,Requires clinical evaluation,1,2,0,0,1
Palpitations,0,Chronic condition suspected,2,4,1,0,2
Palpitations,0,Emergency evaluation needed,3,0,0,0,3
Palpitations,0,Lifestyle-related issue possible,4,3,1,0,4
Palpitations,0,Underlying disease progression,1,1,0,0,1
Palpitations,3,Acute condition likely,2,2,1,3,2
Palpitations,3,Possible infection,3,4,0,3,3
Palpitations,3,Monitor symptoms,4,0,1,3,4
Palpitations,3,Requires clinical evaluation,1,3,0,3,1
Palpitations,3,Chronic condition suspected,2,1,1,3,2
Palpitations,3,Emergency evaluation needed,3,2,0,3,3
Palpitations,3,Lifestyle-related issue possible,4,4,1,3,4
Palpitations,3,Underlying disease progression,1,0,0,3,1
Palpitations,2,Acute condition likely,2,3,1,2,2
Palpitations,2,Possible infection,3,1,0,2,3
Palpitations,2,Monitor symptoms,4,2,1,2,4
Palpitations,2,Requires clinical evaluation,1,4,0,2,1
Palpitations,2,Chronic condition suspected,2,0,1,2,2
Palpitations,2,Emergency evaluation needed,3,3,0,2,3
Palpitations,2,Lifestyle-related issue possible,4,1,1,2,4
Palpitations,2,Underlying disease progression,1,2,0,2,1
Palpitations,6,Acute condition likely,2,4,1,6,2
Palpitations,6,Possible infection,3,0,0,6,3
Palpitations,6,Monitor symptoms,4,3,1,6,4
Palpitations,6,Requires clinical evaluation,1,1,0,6,1
Palpitations,6,Chronic condition suspected,2,2,1,6,2
Palpitations,6,Emergency evaluation needed,3,4,0,6,3
Palpitations,6,Lifestyle-related issue possible,4,0,1,6,4
Palpitations,6,Underlying disease progression,1,3,0,6,1
Rash,5,Acute condition likely,2,1,1,5,2
Rash,5,Possible infection,3,2,0,5,3
Rash,5,Monitor symptoms,4,4,1,5,4
Rash,5,Requires clinical evaluation,1,0,0,5,1
Rash,5,Chronic condition suspected,2,3,1,5,2
Rash,5,Emergency evaluation needed,3,1,0,5,3
Rash,5,Lifestyle-related issue possible,4,2,1,5,4
Rash,5,Underlying disease progression,1,4,0,5,1
Rash,1,Acute condition likely,2,0,1,1,2
Rash,1,Possible infection,3,3,0,1,3
Rash,1,Monitor symptoms,4,1,1,1,4
Rash,1,Requires clinical evaluation,1,2,0,1,1
Rash,1,Chronic condition suspected,2,4,1,1,2
Rash,1,Emergency evaluation needed,3,0,0,1,3
Rash,1,Lifestyle-related issue possible,4,3,1,1,4
Rash,1,Underlying disease progression,1,1,0,1,1
Rash,4,Acute condition likely,2,2,1,4,2
Rash,4,Possible infection,3,4,0,4,3
Rash,4,Monitor symptoms,4,0,1,4,4
Rash,4,Requires clinical evaluation,1,3,0,4,1
Rash,4,Chronic condition suspected,2,1,1,4,2
Rash,4,Emergency evaluation needed,3,2,0,4,3
Rash,4,Lifestyle-related issue possible,4,4,1,4,4
Rash,4,Underlying disease progression,1,0,0,4,1
Rash,0,Acute condition likely,2,3,1,0,2
Rash,0,Possible infection,3,1,0,0,3
Rash,0,Monitor symptoms,4,2,1,0,4
Rash,0,Requires clinical evaluation,1,4,0,0,1
Rash,0,Chronic condition suspected,2,0,1,0,2
Rash,0,Emergency evaluation needed,3,3,0,0,3
Rash,0,Lifestyle-related issue possible,4,1,1,0,4
Rash,0,Underlying disease progression,1,2,0,0,1
Rash,3,Acute condition likely,2,4,1,3,2
Rash,3,Possible infection,3,0,0,3,3
Rash,3,Monitor symptoms,4,3,1,3,4
Rash,3,Requires clinical evaluation,1,1,0,3,1
Rash,3,Chronic condition suspected,2,2,1,3,2
Rash,3,Emergency evaluation needed,3,4,0,3,3
Rash,3,Lifestyle-related issue possible,4,0,1,3,4
Rash,3,Underlying disease progression,1,3,0,3,1
Rash,2,Acute condition likely,2,1,1,2,2
Rash,2,Possible infection,3,2,0,2,3
Rash,2,Monitor symptoms,4,4,1,2,4
Rash,2,Requires clinical evaluation,1,0,0,2,1
Rash,2,Chronic condition suspected,2,3,1,2,2
Rash,2,Emergency evaluation needed,3,1,0,2,3
Rash,2,Lifestyle-related issue possible,4,2,1,2,4
Rash,2,Underlying disease progression,1,4,0,2,1
Rash,6,Acute condition likely,2,0,1,6,2
Rash,6,Possible infection,3,3,0,6,3
Rash,6,Monitor symptoms,4,1,1,6,4
Rash,6,Requires clinical evaluation,1,2,0,6,1
Rash,6,Chronic condition suspected,2,4,1,6,2
Rash,6,Emergency evaluation needed,3,0,0,6,3
Rash,6,Lifestyle-related issue possible,4,3,1,6,4
Rash,6,Underlying disease progression,1,1,0,6,1
Itching,5,Acute condition likely,2,2,1,5,2
Itching,5,Possible infection,3,4,0,5,3
Itching,5,Monitor symptoms,4,0,1,5,4
Itching,5,Requires clinical evaluation,1,3,0,5,1
Itching,5,Chronic condition suspected,2,1,1,5,2
Itching,5,Emergency evaluation needed,3,2,0,5,3
Itching,5,Lifestyle-related issue possible,4,4,1,5,4
Itching,5,Underlying disease progression,1,0,0,5,1
Itching,1,Acute condition likely,2,3,1,1,2
Itching,1,Possible infection,3,1,0,1,3
Itching,1,Monitor symptoms,4,2,1,1,4
Itching,1,Requires clinical evaluation,1,4,0,1,1
Itching,1,Chronic condition suspected,2,0,1,1,2
Itching,1,Emergency evaluation needed,3,3,0,1,3
Itching,1,Lifestyle-related issue possible,4,1,1,1,4
Itching,1,Underlying disease progression,1,2,0,1,1
Itching,4,Acute condition likely,2,4,1,4,2
Itching,4,Possible infection,3,0,0,4,3
Itching,4,Monitor symptoms,4,3,1,4,4
Itching,4,Requires clinical evaluation,1,1,0,4,1
Itching,4,Chronic condition suspected,2,2,1,4,2
Itching,4,Emergency evaluation needed,3,4,0,4,3
Itching,4,Lifestyle-related issue possible,4,0,1,4,4
Itching,4,Underlying disease progression,1,3,0,4,1
Itching,0,Acute condition likely,2,1,1,0,2
Itching,0,Possible infection,3,2,0,0,3
Itching,0,Monitor symptoms,4,4,1,0,4
Itching,0,Requires clinical evaluation,1,0,0,0,1
Itching,0,Chronic condition suspected,2,3,1,0,2
Itching,0,Emergency evaluation needed,3,1,0,0,3
Itching,0,Lifestyle-related issue possible,4,2,1,0,4
Itching,0,Underlying disease progression,1,4,0,0,1
Itching,3,Acute condition likely,2,0,1,3,2
Itching,3,Possible infection,3,3,0,3,3
Itching,3,Monitor symptoms,4,1,1,3,4
Itching,3,Requires clinical evaluation,1,2,0,3,1
Itching,3,Chronic condition suspected,2,4,1,3,2
Itching,3,Emergency evaluation needed,3,0,0,3,3
Itching,3,Lifestyle-related issue possible,4,3,1,3,4
Itching,3,Underlying disease progression,1,1,0,3,1
Itching,2,Acute condition likely,2,2,1,2,2
Itching,2,Possible infection,3,4,0,2,3
Itching,2,Monitor symptoms,4,0,1,2,4
Itching,2,Requires clinical evaluation,1,3,0,2,1
Itching,2,Chronic condition suspected,2,1,1,2,2
Itching,2,Emergency evaluation needed,3,2,0,2,3
Itching,2,Lifestyle-related issue possible,4,4,1,2,4
Itching,2,Underlying disease progression,1,0,0,2,1
Itching,6,Acute condition likely,2,3,1,6,2
Itching,6,Possible infection,3,1,0,6,3
Itching,6,Monitor symptoms,4,2,1,6,4
Itching,6,Requires clinical evaluation,1,4,0,6,1
Itching,6,Chronic condition suspected,2,0,1,6,2
Itching,6,Emergency evaluation needed,3,3,0,6,3
Itching,6,Lifestyle-related issue possible,4,1,1,6,4
Itching,6,Underlying disease progression,1,2,0,6,1
Weight Loss,5,Acute condition likely,2,4,1,5,2
Weight Loss,5,Possible infection,3,0,0,5,3
Weight Loss,5,Monitor symptoms,4,3,1,5,4
Weight Loss,5,Requires clinical evaluation,1,1,0,5,1
Weight Loss,5,Chronic condition suspected,2,2,1,5,2
Weight Loss,5,Emergency evaluation needed,3,4,0,5,3
Weight Loss,5,Lifestyle-related issue possible,4,0,1,5,4
Weight Loss,5,Underlying disease progression,1,3,0,5,1
Weight Loss,1,Acute condition likely,2,1,1,1,2
Weight Loss,1,Possible infection,3,2,0,1,3
Weight Loss,1,Monitor symptoms,4,4,1,1,4
Weight Loss,1,Requires clinical evaluation,1,0,0,1,1
Weight Loss,1,Chronic condition suspected,2,3,1,1,2
Weight Loss,1,Emergency evaluation needed,3,1,0,1,3
Weight Loss,1,Lifestyle-related issue possible,4,2,1,1,4
Weight Loss,1,Underlying disease progression,1,4,0,1,1
Weight Loss,4,Acute condition likely,2,0,1,4,2
Weight Loss,4,Possible infection,3,3,0,4,3
Weight Loss,4,Monitor symptoms,4,1,1,4,4
Weight Loss,4,Requires clinical evaluation,1,2,0,4,1
Weight Loss,4,Chronic condition suspected,2,4,1,4,2
Weight Loss,4,Emergency evaluation needed,3,0,0,4,3
Weight Loss,4,Lifestyle-related issue possible,4,3,1,4,4
Weight Loss,4,Underlying disease progression,1,1,0,4,1
Weight Loss,0,Acute condition likely,2,2,1,0,2
Weight Loss,0,Possible infection,3,4,0,0,3
Weight Loss,0,Monitor symptoms,4,0,1,0,4
Weight Loss,0,Requires clinical evaluation,1,3,0,0,1
Weight Loss,0,Chronic condition suspected,2,1,1,0,2
Weight Loss,0,Emergency evaluation needed,3,2,0,0,3
Weight Loss,0,Lifestyle-related issue possible,4,4,1,0,4
Weight Loss,0,Underlying disease progression,1,0,0,0,1
Weight Loss,3,Acute condition likely,2,3,1,3,2
Weight Loss,3,Possible infection,3,1,0,3,3
Weight Loss,3,Monitor symptoms,4,2,1,3,4
Weight Loss,3,Requires clinical evaluation,1,4,0,3,1
Weight Loss,3,Chronic condition suspected,2,0,1,3,2
Weight Loss,3,Emergency evaluation needed,3,3,0,3,3
Weight Loss,3,Lifestyle-related issue possible,4,1,1,3,4
Weight Loss,3,Underlying disease progression,1,2,0,3,1
Weight Loss,2,Acute condition likely,2,4,1,2,2
Weight Loss,2,Possible infection,3,0,0,2,3
Weight Loss,2,Monitor symptoms,4,3,1,2,4
Weight Loss,2,Requires clinical evaluation,1,1,0,2,1
Weight Loss,2,Chronic condition suspected,2,2,1,2,2
Weight Loss,2,Emergency evaluation needed,3,4,0,2,3
Weight Loss,2,Lifestyle-related issue possible,4,0,1,2,4
Weight Loss,2,Underlying disease progression,1,3,0,2,1
Weight Loss,6,Acute condition likely,2,1,1,6,2
Weight Loss,6,Possible infection,3,2,0,6,3
Weight Loss,6,Monitor symptoms,4,4,1,6,4
Weight Loss,6,Requires clinical evaluation,1,0,0,6,1
Weight Loss,6,Chronic condition suspected,2,3,1,6,2
Weight Loss,6,Emergency evaluation needed,3,1,0,6,3
Weight Loss,6,Lifestyle-related issue possible,4,2,1,6,4
Weight Loss,6,Underlying disease progression,1,4,0,6,1
Weight Gain,5,Acute condition likely,2,0,1,5,2
Weight Gain,5,Possible infection,3,3,0,5,3
Weight Gain,5,Monitor symptoms,4,1,1,5,4
Weight Gain,5,Requires clinical evaluation,1,2,0,5,1
Weight Gain,5,Chronic condition suspected,2,4,1,5,2
Weight Gain,5,Emergency evaluation needed,3,0,0,5,3
Weight Gain,5,Lifestyle-related issue possible,4,3,1,5,4
Weight Gain,5,Underlying disease progression,1,1,0,5,1
Weight Gain,1,Acute condition likely,2,2,1,1,2
Weight Gain,1,Possible infection,3,4,0,1,3
Weight Gain,1,Monitor symptoms,4,0,1,1,4
Weight Gain,1,Requires clinical evaluation,1,3,0,1,1
Weight Gain,1,Chronic condition suspected,2,1,1,1,2
Weight Gain,1,Emergency evaluation needed,3,2,0,1,3
Weight Gain,1,Lifestyle-related issue possible,4,4,1,1,4
Weight Gain,1,Underlying disease progression,1,0,0,1,1
Weight Gain,4,Acute condition likely,2,3,1,4,2
Weight Gain,4,Possible infection,3,1,0,4,3
Weight Gain,4,Monitor symptoms,4,2,1,4,4
Weight Gain,4,Requires clinical evaluation,1,4,0,4,1
Weight Gain,4,Chronic condition suspected,2,0,1,4,2
Weight Gain,4,Emergency evaluation needed,3,3,0,4,3
Weight Gain,4,Lifestyle-related issue possible,4,1,1,4,4
Weight Gain,4,Underlying disease progression,1,2,0,4,1
Weight Gain,0,Acute condition likely,2,4,1,0,2
Weight Gain,0,Possible infection,3,0,0,0,3
Weight Gain,0,Monitor symptoms,4,3,1,0,4
Weight Gain,0,Requires clinical evaluation,1,1,0,0,1
Weight Gain,0,Chronic condition suspected,2,2,1,0,2
Weight Gain,0,Emergency evaluation needed,3,4,0,0,3
Weight Gain,0,Lifestyle-related issue possible,4,0,1,0,4
Weight Gain,0,Underlying disease progression,1,3,0,0,1
Weight Gain,3,Acute condition likely,2,1,1,3,2
Weight Gain,3,Possible infection,3,2,0,3,3
Weight Gain,3,Monitor symptoms,4,4,1,3,4
Weight Gain,3,Requires clinical evaluation,1,0,0,3,1
Weight Gain,3,Chronic condition suspected,2,3,1,3,2
Weight Gain,3,Emergency evaluation needed,3,1,0,3,3
Weight Gain,3,Lifestyle-related issue possible,4,2,1,3,4
Weight Gain,3,Underlying disease progression,1,4,0,3,1
Weight Gain,2,Acute condition likely,2,0,1,2,2
Weight Gain,2,Possible infection,3,3,0,2,3
Weight Gain,2,Monitor symptoms,4,1,1,2,4
Weight Gain,2,Requires clinical evaluation,1,2,0,2,1
Weight Gain,2,Chronic condition suspected,2,4,1,2,2
Weight Gain,2,Emergency evaluation needed,3,0,0,2,3
Weight Gain,2,Lifestyle-related issue possible,4,3,1,2,4
Weight Gain,2,Underlying disease progression,1,1,0,2,1
Weight Gain,6,Acute condition likely,2,2,1,6,2
Weight Gain,6,Possible infection,3,4,0,6,3
Weight Gain,6,Monitor symptoms,4,0,1,6,4
Weight Gain,6,Requires clinical evaluation,1,3,0,6,1
Weight Gain,6,Chronic condition suspected,2,1,1,6,2
Weight Gain,6,Emergency evaluation needed,3,2,0,6,3
Weight Gain,6,Lifestyle-related issue possible,4,4,1,6,4
Weight Gain,6,Underlying disease progression,1,0,0,6,1
Frequent Urination,5,Acute condition likely,2,3,1,5,2
Frequent Urination,5,Possible infection,3,1,0,5,3
Frequent Urination,5,Monitor symptoms,4,2,1,5,4
Frequent Urination,5,Requires clinical evaluation,1,4,0,5,1
Frequent Urination,5,Chronic condition suspected,2,0,1,5,2
Frequent Urination,5,Emergency evaluation needed,3,3,0,5,3
Frequent Urination,5,Lifestyle-related issue possible,4,1,1,5,4
Frequent Urination,5,Underlying disease progression,1,2,0,5,1
Frequent Urination,1,Acute condition likely,2,4,1,1,2
Frequent Urination,1,Possible infection,3,0,0,1,3
Frequent Urination,1,Monitor symptoms,4,3,1,1,4
Frequent Urination,1,Requires clinical evaluation,1,1,0,1,1
Frequent Urination,1,Chronic condition suspected,2,2,1,1,2
Frequent Urination,1,Emergency evaluation needed,3,4,0,1,3
Frequent Urination,1,Lifestyle-related issue possible,4,0,1,1,4
Frequent Urination,1,Underlying disease progression,1,3,0,1,1
Frequent Urination,4,Acute condition likely,2,1,1,4,2
Frequent Urination,4,Possible infection,3,2,0,4,3
Frequent Urination,4,Monitor symptoms,4,4,1,4,4
Frequent Urination,4,Requires clinical evaluation,1,0,0,4,1
Frequent Urination,4,Chronic condition suspected,2,3,1,4,2
Frequent Urination,4,Emergency evaluation needed,3,1,0,4,3
Frequent Urination,4,Lifestyle-related issue possible,4,2,1,4,4
Frequent Urination,4,Underlying disease progression,1,4,0,4,1
Frequent Urination,0,Acute condition likely,2,0,1,0,2
Frequent Urination,0,Possible infection,3,3,0,0,3
Frequent Urination,0,Monitor symptoms,4,1,1,0,4
Frequent Urination,0,Requires clinical evaluation,1,2,0,0,1
Frequent Urination,0,Chronic condition suspected,2,4,1,0,2
Frequent Urination,0,Emergency evaluation needed,3,0,0,0,3
Frequent Urination,0,Lifestyle-related issue possible,4,3,1,0,4
Frequent Urination,0,Underlying disease progression,1,1,0,0,1
Frequent Urination,3,Acute condition likely,2,2,1,3,2
Frequent Urination,3,Possible infection,3,4,0,3,3
Frequent Urination,3,Monitor symptoms,4,0,1,3,4
Frequent Urination,3,Requires clinical evaluation,1,3,0,3,1
Frequent Urination,3,Chronic condition suspected,2,1,1,3,2
Frequent Urination,3,Emergency evaluation needed,3,2,0,3,3
Frequent Urination,3,Lifestyle-related issue possible,4,4,1,3,4
Frequent Urination,3,Underlying disease progression,1,0,0,3,1
Frequent Urination,2,Acute condition likely,2,3,1,2,2
Frequent Urination,2,Possible infection,3,1,0,2,3
Frequent Urination,2,Monitor symptoms,4,2,1,2,4
Frequent Urination,2,Requires clinical evaluation,1,4,0,2,1
Frequent Urination,2,Chronic condition suspected,2,0,1,2,2
Frequent Urination,2,Emergency evaluation needed,3,3,0,2,3
Frequent Urination,2,Lifestyle-related issue possible,4,1,1,2,4
Frequent Urination,2,Underlying disease progression,1,2,0,2,1
Frequent Urination,6,Acute condition likely,2,4,1,6,2
Frequent Urination,6,Possible infection,3,0,0,6,3
Frequent Urination,6,Monitor symptoms,4,3,1,6,4
Frequent Urination,6,Requires clinical evaluation,1,1,0,6,1
Frequent Urination,6,Chronic condition suspected,2,2,1,6,2
Frequent Urination,6,Emergency evaluation needed,3,4,0,6,3
