risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
High Salt Intake,Infection Risk,Medium,Yes,Environmental,High Monitoring
High Salt Intake,Infection Risk,High,No,Medical,Immediate Attention
High Salt Intake,Infection Risk,Critical,Yes,Lifestyle,Preventive
High Salt Intake,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
High Salt Intake,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
High Salt Intake,Metabolic Disorder,High,No,Medical,Immediate Attention
High Salt Intake,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
High Salt Intake,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
High Salt Intake,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
High Salt Intake,Autoimmune Disease,High,No,Medical,Immediate Attention
High Salt Intake,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
High Salt Intake,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
High Salt Intake,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
High Salt Intake,Hormonal Disorder,High,No,Medical,Immediate Attention
High Salt Intake,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Heart Disease,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Heart Disease,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Heart Disease,High,No,Medical,Immediate Attention
High Sugar Intake,Heart Disease,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Diabetes,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Diabetes,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Diabetes,High,No,Medical,Immediate Attention
High Sugar Intake,Diabetes,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Hypertension,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Hypertension,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Hypertension,High,No,Medical,Immediate Attention
High Sugar Intake,Hypertension,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Stroke,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Stroke,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Stroke,High,No,Medical,Immediate Attention
High Sugar Intake,Stroke,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Kidney Disease,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Kidney Disease,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Kidney Disease,High,No,Medical,Immediate Attention
High Sugar Intake,Kidney Disease,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Liver Disease,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Liver Disease,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Liver Disease,High,No,Medical,Immediate Attention
High Sugar Intake,Liver Disease,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Respiratory Disorder,High,No,Medical,Immediate Attention
High Sugar Intake,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Cancer,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Cancer,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Cancer,High,No,Medical,Immediate Attention
High Sugar Intake,Cancer,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Obesity,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Obesity,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Obesity,High,No,Medical,Immediate Attention
High Sugar Intake,Obesity,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Depression,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Depression,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Depression,High,No,Medical,Immediate Attention
High Sugar Intake,Depression,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Anxiety,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Anxiety,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Anxiety,High,No,Medical,Immediate Attention
High Sugar Intake,Anxiety,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Infection Risk,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Infection Risk,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Infection Risk,High,No,Medical,Immediate Attention
High Sugar Intake,Infection Risk,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Metabolic Disorder,High,No,Medical,Immediate Attention
High Sugar Intake,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Autoimmune Disease,High,No,Medical,Immediate Attention
High Sugar Intake,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
High Sugar Intake,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
High Sugar Intake,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
High Sugar Intake,Hormonal Disorder,High,No,Medical,Immediate Attention
High Sugar Intake,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Heart Disease,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Heart Disease,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Heart Disease,High,No,Medical,Immediate Attention
Air Pollution Exposure,Heart Disease,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Diabetes,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Diabetes,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Diabetes,High,No,Medical,Immediate Attention
Air Pollution Exposure,Diabetes,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Hypertension,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Hypertension,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Hypertension,High,No,Medical,Immediate Attention
Air Pollution Exposure,Hypertension,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Stroke,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Stroke,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Stroke,High,No,Medical,Immediate Attention
Air Pollution Exposure,Stroke,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Kidney Disease,High,No,Medical,Immediate Attention
Air Pollution Exposure,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Liver Disease,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Liver Disease,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Liver Disease,High,No,Medical,Immediate Attention
Air Pollution Exposure,Liver Disease,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Respiratory Disorder,High,No,Medical,Immediate Attention
Air Pollution Exposure,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Cancer,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Cancer,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Cancer,High,No,Medical,Immediate Attention
Air Pollution Exposure,Cancer,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Obesity,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Obesity,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Obesity,High,No,Medical,Immediate Attention
Air Pollution Exposure,Obesity,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Depression,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Depression,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Depression,High,No,Medical,Immediate Attention
Air Pollution Exposure,Depression,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Anxiety,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Anxiety,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Anxiety,High,No,Medical,Immediate Attention
Air Pollution Exposure,Anxiety,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Infection Risk,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Infection Risk,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Infection Risk,High,No,Medical,Immediate Attention
Air Pollution Exposure,Infection Risk,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Metabolic Disorder,High,No,Medical,Immediate Attention
Air Pollution Exposure,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Autoimmune Disease,High,No,Medical,Immediate Attention
Air Pollution Exposure,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Air Pollution Exposure,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Air Pollution Exposure,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Air Pollution Exposure,Hormonal Disorder,High,No,Medical,Immediate Attention
Air Pollution Exposure,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Heart Disease,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Heart Disease,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Heart Disease,High,No,Medical,Immediate Attention
Occupational Hazard,Heart Disease,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Diabetes,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Diabetes,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Diabetes,High,No,Medical,Immediate Attention
Occupational Hazard,Diabetes,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Hypertension,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Hypertension,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Hypertension,High,No,Medical,Immediate Attention
Occupational Hazard,Hypertension,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Stroke,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Stroke,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Stroke,High,No,Medical,Immediate Attention
Occupational Hazard,Stroke,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Kidney Disease,High,No,Medical,Immediate Attention
Occupational Hazard,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Liver Disease,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Liver Disease,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Liver Disease,High,No,Medical,Immediate Attention
Occupational Hazard,Liver Disease,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Respiratory Disorder,High,No,Medical,Immediate Attention
Occupational Hazard,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Cancer,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Cancer,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Cancer,High,No,Medical,Immediate Attention
Occupational Hazard,Cancer,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Obesity,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Obesity,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Obesity,High,No,Medical,Immediate Attention
Occupational Hazard,Obesity,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Depression,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Depression,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Depression,High,No,Medical,Immediate Attention
Occupational Hazard,Depression,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Anxiety,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Anxiety,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Anxiety,High,No,Medical,Immediate Attention
Occupational Hazard,Anxiety,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Infection Risk,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Infection Risk,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Infection Risk,High,No,Medical,Immediate Attention
Occupational Hazard,Infection Risk,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Metabolic Disorder,High,No,Medical,Immediate Attention
Occupational Hazard,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Autoimmune Disease,High,No,Medical,Immediate Attention
Occupational Hazard,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Occupational Hazard,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Occupational Hazard,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Occupational Hazard,Hormonal Disorder,High,No,Medical,Immediate Attention
Occupational Hazard,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Heart Disease,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Heart Disease,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Heart Disease,High,No,Medical,Immediate Attention
Chronic Stress,Heart Disease,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Diabetes,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Diabetes,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Diabetes,High,No,Medical,Immediate Attention
Chronic Stress,Diabetes,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Hypertension,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Hypertension,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Hypertension,High,No,Medical,Immediate Attention
Chronic Stress,Hypertension,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Stroke,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Stroke,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Stroke,High,No,Medical,Immediate Attention
Chronic Stress,Stroke,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Kidney Disease,High,No,Medical,Immediate Attention
Chronic Stress,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Liver Disease,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Liver Disease,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Liver Disease,High,No,Medical,Immediate Attention
Chronic Stress,Liver Disease,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Respiratory Disorder,High,No,Medical,Immediate Attention
Chronic Stress,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Cancer,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Cancer,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Cancer,High,No,Medical,Immediate Attention
Chronic Stress,Cancer,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Obesity,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Obesity,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Obesity,High,No,Medical,Immediate Attention
Chronic Stress,Obesity,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Depression,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Depression,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Depression,High,No,Medical,Immediate Attention
Chronic Stress,Depression,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Anxiety,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Anxiety,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Anxiety,High,No,Medical,Immediate Attention
Chronic Stress,Anxiety,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Infection Risk,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Infection Risk,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Infection Risk,High,No,Medical,Immediate Attention
Chronic Stress,Infection Risk,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Metabolic Disorder,High,No,Medical,Immediate Attention
Chronic Stress,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Autoimmune Disease,High,No,Medical,Immediate Attention
Chronic Stress,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Chronic Stress,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Chronic Stress,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Chronic Stress,Hormonal Disorder,High,No,Medical,Immediate Attention
Chronic Stress,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Heart Disease,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Heart Disease,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Heart Disease,High,No,Medical,Immediate Attention
Sleep Deprivation,Heart Disease,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Diabetes,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Diabetes,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Diabetes,High,No,Medical,Immediate Attention
Sleep Deprivation,Diabetes,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Hypertension,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Hypertension,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Hypertension,High,No,Medical,Immediate Attention
Sleep Deprivation,Hypertension,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Stroke,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Stroke,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Stroke,High,No,Medical,Immediate Attention
Sleep Deprivation,Stroke,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Kidney Disease,High,No,Medical,Immediate Attention
Sleep Deprivation,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Liver Disease,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Liver Disease,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Liver Disease,High,No,Medical,Immediate Attention
Sleep Deprivation,Liver Disease,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Respiratory Disorder,High,No,Medical,Immediate Attention
Sleep Deprivation,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Cancer,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Cancer,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Cancer,High,No,Medical,Immediate Attention
Sleep Deprivation,Cancer,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Obesity,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Obesity,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Obesity,High,No,Medical,Immediate Attention
Sleep Deprivation,Obesity,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Depression,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Depression,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Depression,High,No,Medical,Immediate Attention
Sleep Deprivation,Depression,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Anxiety,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Anxiety,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Anxiety,High,No,Medical,Immediate Attention
Sleep Deprivation,Anxiety,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Infection Risk,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Infection Risk,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Infection Risk,High,No,Medical,Immediate Attention
Sleep Deprivation,Infection Risk,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Metabolic Disorder,High,No,Medical,Immediate Attention
Sleep Deprivation,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Autoimmune Disease,High,No,Medical,Immediate Attention
Sleep Deprivation,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Sleep Deprivation,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Sleep Deprivation,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Sleep Deprivation,Hormonal Disorder,High,No,Medical,Immediate Attention
Sleep Deprivation,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Heart Disease,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Heart Disease,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Heart Disease,High,No,Medical,Immediate Attention
Weak Immunity,Heart Disease,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Diabetes,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Diabetes,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Diabetes,High,No,Medical,Immediate Attention
Weak Immunity,Diabetes,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Hypertension,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Hypertension,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Hypertension,High,No,Medical,Immediate Attention
Weak Immunity,Hypertension,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Stroke,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Stroke,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Stroke,High,No,Medical,Immediate Attention
Weak Immunity,Stroke,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Kidney Disease,High,No,Medical,Immediate Attention
Weak Immunity,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Liver Disease,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Liver Disease,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Liver Disease,High,No,Medical,Immediate Attention
Weak Immunity,Liver Disease,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Respiratory Disorder,High,No,Medical,Immediate Attention
Weak Immunity,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Cancer,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Cancer,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Cancer,High,No,Medical,Immediate Attention
Weak Immunity,Cancer,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Obesity,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Obesity,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Obesity,High,No,Medical,Immediate Attention
Weak Immunity,Obesity,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Depression,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Depression,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Depression,High,No,Medical,Immediate Attention
Weak Immunity,Depression,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Anxiety,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Anxiety,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Anxiety,High,No,Medical,Immediate Attention
Weak Immunity,Anxiety,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Infection Risk,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Infection Risk,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Infection Risk,High,No,Medical,Immediate Attention
Weak Immunity,Infection Risk,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Metabolic Disorder,High,No,Medical,Immediate Attention
Weak Immunity,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Autoimmune Disease,High,No,Medical,Immediate Attention
Weak Immunity,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Weak Immunity,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Weak Immunity,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Weak Immunity,Hormonal Disorder,High,No,Medical,Immediate Attention
Weak Immunity,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Previous Infection,Heart Disease,Low,No,Genetic,Moderate Monitoring
Previous Infection,Heart Disease,Medium,Yes,Environmental,High Monitoring
Previous Infection,Heart Disease,High,No,Medical,Immediate Attention
Previous Infection,Heart Disease,Critical,Yes,Lifestyle,Preventive
Previous Infection,Diabetes,Low,No,Genetic,Moderate Monitoring
Previous Infection,Diabetes,Medium,Yes,Environmental,High Monitoring
Previous Infection,Diabetes,High,No,Medical,Immediate Attention
Previous Infection,Diabetes,Critical,Yes,Lifestyle,Preventive
Previous Infection,Hypertension,Low,No,Genetic,Moderate Monitoring
Previous Infection,Hypertension,Medium,Yes,Environmental,High Monitoring
Previous Infection,Hypertension,High,No,Medical,Immediate Attention
Previous Infection,Hypertension,Critical,Yes,Lifestyle,Preventive
Previous Infection,Stroke,Low,No,Genetic,Moderate Monitoring
Previous Infection,Stroke,Medium,Yes,Environmental,High Monitoring
Previous Infection,Stroke,High,No,Medical,Immediate Attention
Previous Infection,Stroke,Critical,Yes,Lifestyle,Preventive
Previous Infection,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Previous Infection,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Previous Infection,Kidney Disease,High,No,Medical,Immediate Attention
Previous Infection,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Previous Infection,Liver Disease,Low,No,Genetic,Moderate Monitoring
Previous Infection,Liver Disease,Medium,Yes,Environmental,High Monitoring
