symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Irritability,When did it start worsening (Variant 1064)?,Progression,Numeric,High,Endocrine,No
Irritability,Any associated symptoms present (Variant 1065)?,Associated Symptom,Yes/No,Low,MSK,Yes
Irritability,Triggered by activity (Variant 1066)?,Trigger,Yes/No,Medium,Dermatology,No
Irritability,Localized or widespread (Variant 1067)?,Location,Localized/Diffuse,High,Emergency,Yes
Irritability,Constant or intermittent (Variant 1068)?,Pattern,Constant/Intermittent,Low,General,No
Irritability,Does it affect daily activities (Variant 1069)?,Impact,Yes/No,Medium,Respiratory,Yes
Irritability,Any emergency warning signs (Variant 1070)?,Emergency Flag,Yes/No,High,Cardiac,No
Ear Pain,Since how many days (Variant 1071)?,Duration,Numeric,Low,Neurology,Yes
Ear Pain,"Mild, moderate or severe (Variant 1072)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Ear Pain,How frequently does it occur (Variant 1073)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Ear Pain,When did it start worsening (Variant 1074)?,Progression,Numeric,Low,MSK,No
Ear Pain,Any associated symptoms present (Variant 1075)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Ear Pain,Triggered by activity (Variant 1076)?,Trigger,Yes/No,High,Emergency,No
Ear Pain,Localized or widespread (Variant 1077)?,Location,Localized/Diffuse,Low,General,Yes
Ear Pain,Constant or intermittent (Variant 1078)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Ear Pain,Does it affect daily activities (Variant 1079)?,Impact,Yes/No,High,Cardiac,Yes
Ear Pain,Any emergency warning signs (Variant 1080)?,Emergency Flag,Yes/No,Low,Neurology,No
Hearing Loss,Since how many days (Variant 1081)?,Duration,Numeric,Medium,GI,Yes
Hearing Loss,"Mild, moderate or severe (Variant 1082)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Hearing Loss,How frequently does it occur (Variant 1083)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Hearing Loss,When did it start worsening (Variant 1084)?,Progression,Numeric,Medium,Dermatology,No
Hearing Loss,Any associated symptoms present (Variant 1085)?,Associated Symptom,Yes/No,High,Emergency,Yes
Hearing Loss,Triggered by activity (Variant 1086)?,Trigger,Yes/No,Low,General,No
Hearing Loss,Localized or widespread (Variant 1087)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Hearing Loss,Constant or intermittent (Variant 1088)?,Pattern,Constant/Intermittent,High,Cardiac,No
Hearing Loss,Does it affect daily activities (Variant 1089)?,Impact,Yes/No,Low,Neurology,Yes
Hearing Loss,Any emergency warning signs (Variant 1090)?,Emergency Flag,Yes/No,Medium,GI,No
Neck Pain,Since how many days (Variant 1091)?,Duration,Numeric,High,Endocrine,Yes
Neck Pain,"Mild, moderate or severe (Variant 1092)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Neck Pain,How frequently does it occur (Variant 1093)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Neck Pain,When did it start worsening (Variant 1094)?,Progression,Numeric,High,Emergency,No
Neck Pain,Any associated symptoms present (Variant 1095)?,Associated Symptom,Yes/No,Low,General,Yes
Neck Pain,Triggered by activity (Variant 1096)?,Trigger,Yes/No,Medium,Respiratory,No
Neck Pain,Localized or widespread (Variant 1097)?,Location,Localized/Diffuse,High,Cardiac,Yes
Neck Pain,Constant or intermittent (Variant 1098)?,Pattern,Constant/Intermittent,Low,Neurology,No
Neck Pain,Does it affect daily activities (Variant 1099)?,Impact,Yes/No,Medium,GI,Yes
Neck Pain,Any emergency warning signs (Variant 1100)?,Emergency Flag,Yes/No,High,Endocrine,No
Pelvic Pain,Since how many days (Variant 1101)?,Duration,Numeric,Low,MSK,Yes
Pelvic Pain,"Mild, moderate or severe (Variant 1102)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Pelvic Pain,How frequently does it occur (Variant 1103)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Pelvic Pain,When did it start worsening (Variant 1104)?,Progression,Numeric,Low,General,No
Pelvic Pain,Any associated symptoms present (Variant 1105)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Pelvic Pain,Triggered by activity (Variant 1106)?,Trigger,Yes/No,High,Cardiac,No
Pelvic Pain,Localized or widespread (Variant 1107)?,Location,Localized/Diffuse,Low,Neurology,Yes
Pelvic Pain,Constant or intermittent (Variant 1108)?,Pattern,Constant/Intermittent,Medium,GI,No
Pelvic Pain,Does it affect daily activities (Variant 1109)?,Impact,Yes/No,High,Endocrine,Yes
Pelvic Pain,Any emergency warning signs (Variant 1110)?,Emergency Flag,Yes/No,Low,MSK,No
Menstrual Irregularity,Since how many days (Variant 1111)?,Duration,Numeric,Medium,Dermatology,Yes
Menstrual Irregularity,"Mild, moderate or severe (Variant 1112)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Menstrual Irregularity,How frequently does it occur (Variant 1113)?,Frequency,Occasional/Frequent,Low,General,Yes
Menstrual Irregularity,When did it start worsening (Variant 1114)?,Progression,Numeric,Medium,Respiratory,No
Menstrual Irregularity,Any associated symptoms present (Variant 1115)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Menstrual Irregularity,Triggered by activity (Variant 1116)?,Trigger,Yes/No,Low,Neurology,No
Menstrual Irregularity,Localized or widespread (Variant 1117)?,Location,Localized/Diffuse,Medium,GI,Yes
Menstrual Irregularity,Constant or intermittent (Variant 1118)?,Pattern,Constant/Intermittent,High,Endocrine,No
Menstrual Irregularity,Does it affect daily activities (Variant 1119)?,Impact,Yes/No,Low,MSK,Yes
Menstrual Irregularity,Any emergency warning signs (Variant 1120)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Burning Urination,Since how many days (Variant 1121)?,Duration,Numeric,High,Emergency,Yes
Burning Urination,"Mild, moderate or severe (Variant 1122)?",Severity,Mild/Moderate/Severe,Low,General,No
Burning Urination,How frequently does it occur (Variant 1123)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Burning Urination,When did it start worsening (Variant 1124)?,Progression,Numeric,High,Cardiac,No
Burning Urination,Any associated symptoms present (Variant 1125)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Burning Urination,Triggered by activity (Variant 1126)?,Trigger,Yes/No,Medium,GI,No
Burning Urination,Localized or widespread (Variant 1127)?,Location,Localized/Diffuse,High,Endocrine,Yes
Burning Urination,Constant or intermittent (Variant 1128)?,Pattern,Constant/Intermittent,Low,MSK,No
Burning Urination,Does it affect daily activities (Variant 1129)?,Impact,Yes/No,Medium,Dermatology,Yes
Burning Urination,Any emergency warning signs (Variant 1130)?,Emergency Flag,Yes/No,High,Emergency,No
Blood in Urine,Since how many days (Variant 1131)?,Duration,Numeric,Low,General,Yes
Blood in Urine,"Mild, moderate or severe (Variant 1132)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Blood in Urine,How frequently does it occur (Variant 1133)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Blood in Urine,When did it start worsening (Variant 1134)?,Progression,Numeric,Low,Neurology,No
Blood in Urine,Any associated symptoms present (Variant 1135)?,Associated Symptom,Yes/No,Medium,GI,Yes
Blood in Urine,Triggered by activity (Variant 1136)?,Trigger,Yes/No,High,Endocrine,No
Blood in Urine,Localized or widespread (Variant 1137)?,Location,Localized/Diffuse,Low,MSK,Yes
Blood in Urine,Constant or intermittent (Variant 1138)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Blood in Urine,Does it affect daily activities (Variant 1139)?,Impact,Yes/No,High,Emergency,Yes
Blood in Urine,Any emergency warning signs (Variant 1140)?,Emergency Flag,Yes/No,Low,General,No
Swollen Lymph Nodes,Since how many days (Variant 1141)?,Duration,Numeric,Medium,Respiratory,Yes
Swollen Lymph Nodes,"Mild, moderate or severe (Variant 1142)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Swollen Lymph Nodes,How frequently does it occur (Variant 1143)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Swollen Lymph Nodes,When did it start worsening (Variant 1144)?,Progression,Numeric,Medium,GI,No
Swollen Lymph Nodes,Any associated symptoms present (Variant 1145)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Swollen Lymph Nodes,Triggered by activity (Variant 1146)?,Trigger,Yes/No,Low,MSK,No
Swollen Lymph Nodes,Localized or widespread (Variant 1147)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Swollen Lymph Nodes,Constant or intermittent (Variant 1148)?,Pattern,Constant/Intermittent,High,Emergency,No
Swollen Lymph Nodes,Does it affect daily activities (Variant 1149)?,Impact,Yes/No,Low,General,Yes
Swollen Lymph Nodes,Any emergency warning signs (Variant 1150)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Dry Mouth,Since how many days (Variant 1151)?,Duration,Numeric,High,Cardiac,Yes
Dry Mouth,"Mild, moderate or severe (Variant 1152)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Dry Mouth,How frequently does it occur (Variant 1153)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Dry Mouth,When did it start worsening (Variant 1154)?,Progression,Numeric,High,Endocrine,No
Dry Mouth,Any associated symptoms present (Variant 1155)?,Associated Symptom,Yes/No,Low,MSK,Yes
Dry Mouth,Triggered by activity (Variant 1156)?,Trigger,Yes/No,Medium,Dermatology,No
Dry Mouth,Localized or widespread (Variant 1157)?,Location,Localized/Diffuse,High,Emergency,Yes
Dry Mouth,Constant or intermittent (Variant 1158)?,Pattern,Constant/Intermittent,Low,General,No
Dry Mouth,Does it affect daily activities (Variant 1159)?,Impact,Yes/No,Medium,Respiratory,Yes
Dry Mouth,Any emergency warning signs (Variant 1160)?,Emergency Flag,Yes/No,High,Cardiac,No
Mouth Ulcers,Since how many days (Variant 1161)?,Duration,Numeric,Low,Neurology,Yes
Mouth Ulcers,"Mild, moderate or severe (Variant 1162)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Mouth Ulcers,How frequently does it occur (Variant 1163)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Mouth Ulcers,When did it start worsening (Variant 1164)?,Progression,Numeric,Low,MSK,No
Mouth Ulcers,Any associated symptoms present (Variant 1165)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Mouth Ulcers,Triggered by activity (Variant 1166)?,Trigger,Yes/No,High,Emergency,No
Mouth Ulcers,Localized or widespread (Variant 1167)?,Location,Localized/Diffuse,Low,General,Yes
Mouth Ulcers,Constant or intermittent (Variant 1168)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Mouth Ulcers,Does it affect daily activities (Variant 1169)?,Impact,Yes/No,High,Cardiac,Yes
Mouth Ulcers,Any emergency warning signs (Variant 1170)?,Emergency Flag,Yes/No,Low,Neurology,No
Difficulty Swallowing,Since how many days (Variant 1171)?,Duration,Numeric,Medium,GI,Yes
Difficulty Swallowing,"Mild, moderate or severe (Variant 1172)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Difficulty Swallowing,How frequently does it occur (Variant 1173)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Difficulty Swallowing,When did it start worsening (Variant 1174)?,Progression,Numeric,Medium,Dermatology,No
Difficulty Swallowing,Any associated symptoms present (Variant 1175)?,Associated Symptom,Yes/No,High,Emergency,Yes
Difficulty Swallowing,Triggered by activity (Variant 1176)?,Trigger,Yes/No,Low,General,No
Difficulty Swallowing,Localized or widespread (Variant 1177)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Difficulty Swallowing,Constant or intermittent (Variant 1178)?,Pattern,Constant/Intermittent,High,Cardiac,No
Difficulty Swallowing,Does it affect daily activities (Variant 1179)?,Impact,Yes/No,Low,Neurology,Yes
Difficulty Swallowing,Any emergency warning signs (Variant 1180)?,Emergency Flag,Yes/No,Medium,GI,No
Cyanosis,Since how many days (Variant 1181)?,Duration,Numeric,High,Endocrine,Yes
Cyanosis,"Mild, moderate or severe (Variant 1182)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Cyanosis,How frequently does it occur (Variant 1183)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Cyanosis,When did it start worsening (Variant 1184)?,Progression,Numeric,High,Emergency,No
Cyanosis,Any associated symptoms present (Variant 1185)?,Associated Symptom,Yes/No,Low,General,Yes
Cyanosis,Triggered by activity (Variant 1186)?,Trigger,Yes/No,Medium,Respiratory,No
Cyanosis,Localized or widespread (Variant 1187)?,Location,Localized/Diffuse,High,Cardiac,Yes
Cyanosis,Constant or intermittent (Variant 1188)?,Pattern,Constant/Intermittent,Low,Neurology,No
Cyanosis,Does it affect daily activities (Variant 1189)?,Impact,Yes/No,Medium,GI,Yes
Cyanosis,Any emergency warning signs (Variant 1190)?,Emergency Flag,Yes/No,High,Endocrine,No
Severe Bleeding,Since how many days (Variant 1191)?,Duration,Numeric,Low,MSK,Yes
Severe Bleeding,"Mild, moderate or severe (Variant 1192)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Severe Bleeding,How frequently does it occur (Variant 1193)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Severe Bleeding,When did it start worsening (Variant 1194)?,Progression,Numeric,Low,General,No
Severe Bleeding,Any associated symptoms present (Variant 1195)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Severe Bleeding,Triggered by activity (Variant 1196)?,Trigger,Yes/No,High,Cardiac,No
Severe Bleeding,Localized or widespread (Variant 1197)?,Location,Localized/Diffuse,Low,Neurology,Yes
Severe Bleeding,Constant or intermittent (Variant 1198)?,Pattern,Constant/Intermittent,Medium,GI,No
Severe Bleeding,Does it affect daily activities (Variant 1199)?,Impact,Yes/No,High,Endocrine,Yes
Severe Bleeding,Any emergency warning signs (Variant 1200)?,Emergency Flag,Yes/No,Low,MSK,No
Fever,Since how many days (Variant 1201)?,Duration,Numeric,Medium,Respiratory,Yes
Fever,"Mild, moderate or severe (Variant 1202)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Fever,How frequently does it occur (Variant 1203)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Fever,When did it start worsening (Variant 1204)?,Progression,Numeric,Medium,GI,No
Fever,Any associated symptoms present (Variant 1205)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Fever,Triggered by activity (Variant 1206)?,Trigger,Yes/No,Low,MSK,No
Fever,Localized or widespread (Variant 1207)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Fever,Constant or intermittent (Variant 1208)?,Pattern,Constant/Intermittent,High,Emergency,No
Fever,Does it affect daily activities (Variant 1209)?,Impact,Yes/No,Low,General,Yes
Fever,Any emergency warning signs (Variant 1210)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Cough,Since how many days (Variant 1211)?,Duration,Numeric,High,Cardiac,Yes
Cough,"Mild, moderate or severe (Variant 1212)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Cough,How frequently does it occur (Variant 1213)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Cough,When did it start worsening (Variant 1214)?,Progression,Numeric,High,Endocrine,No
Cough,Any associated symptoms present (Variant 1215)?,Associated Symptom,Yes/No,Low,MSK,Yes
Cough,Triggered by activity (Variant 1216)?,Trigger,Yes/No,Medium,Dermatology,No
Cough,Localized or widespread (Variant 1217)?,Location,Localized/Diffuse,High,Emergency,Yes
Cough,Constant or intermittent (Variant 1218)?,Pattern,Constant/Intermittent,Low,General,No
Cough,Does it affect daily activities (Variant 1219)?,Impact,Yes/No,Medium,Respiratory,Yes
Cough,Any emergency warning signs (Variant 1220)?,Emergency Flag,Yes/No,High,Cardiac,No
Fatigue,Since how many days (Variant 1221)?,Duration,Numeric,Low,Neurology,Yes
Fatigue,"Mild, moderate or severe (Variant 1222)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Fatigue,How frequently does it occur (Variant 1223)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Fatigue,When did it start worsening (Variant 1224)?,Progression,Numeric,Low,MSK,No
Fatigue,Any associated symptoms present (Variant 1225)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Fatigue,Triggered by activity (Variant 1226)?,Trigger,Yes/No,High,Emergency,No
Fatigue,Localized or widespread (Variant 1227)?,Location,Localized/Diffuse,Low,General,Yes
Fatigue,Constant or intermittent (Variant 1228)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Fatigue,Does it affect daily activities (Variant 1229)?,Impact,Yes/No,High,Cardiac,Yes
Fatigue,Any emergency warning signs (Variant 1230)?,Emergency Flag,Yes/No,Low,Neurology,No
Breathlessness,Since how many days (Variant 1231)?,Duration,Numeric,Medium,GI,Yes
Breathlessness,"Mild, moderate or severe (Variant 1232)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Breathlessness,How frequently does it occur (Variant 1233)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Breathlessness,When did it start worsening (Variant 1234)?,Progression,Numeric,Medium,Dermatology,No
Breathlessness,Any associated symptoms present (Variant 1235)?,Associated Symptom,Yes/No,High,Emergency,Yes
Breathlessness,Triggered by activity (Variant 1236)?,Trigger,Yes/No,Low,General,No
Breathlessness,Localized or widespread (Variant 1237)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Breathlessness,Constant or intermittent (Variant 1238)?,Pattern,Constant/Intermittent,High,Cardiac,No
Breathlessness,Does it affect daily activities (Variant 1239)?,Impact,Yes/No,Low,Neurology,Yes
Breathlessness,Any emergency warning signs (Variant 1240)?,Emergency Flag,Yes/No,Medium,GI,No
Chest Pain,Since how many days (Variant 1241)?,Duration,Numeric,High,Endocrine,Yes
Chest Pain,"Mild, moderate or severe (Variant 1242)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Chest Pain,How frequently does it occur (Variant 1243)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chest Pain,When did it start worsening (Variant 1244)?,Progression,Numeric,High,Emergency,No
Chest Pain,Any associated symptoms present (Variant 1245)?,Associated Symptom,Yes/No,Low,General,Yes
Chest Pain,Triggered by activity (Variant 1246)?,Trigger,Yes/No,Medium,Respiratory,No
Chest Pain,Localized or widespread (Variant 1247)?,Location,Localized/Diffuse,High,Cardiac,Yes
Chest Pain,Constant or intermittent (Variant 1248)?,Pattern,Constant/Intermittent,Low,Neurology,No
Chest Pain,Does it affect daily activities (Variant 1249)?,Impact,Yes/No,Medium,GI,Yes
Chest Pain,Any emergency warning signs (Variant 1250)?,Emergency Flag,Yes/No,High,Endocrine,No
Headache,Since how many days (Variant 1251)?,Duration,Numeric,Low,MSK,Yes
Headache,"Mild, moderate or severe (Variant 1252)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Headache,How frequently does it occur (Variant 1253)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Headache,When did it start worsening (Variant 1254)?,Progression,Numeric,Low,General,No
Headache,Any associated symptoms present (Variant 1255)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Headache,Triggered by activity (Variant 1256)?,Trigger,Yes/No,High,Cardiac,No
Headache,Localized or widespread (Variant 1257)?,Location,Localized/Diffuse,Low,Neurology,Yes
Headache,Constant or intermittent (Variant 1258)?,Pattern,Constant/Intermittent,Medium,GI,No
Headache,Does it affect daily activities (Variant 1259)?,Impact,Yes/No,High,Endocrine,Yes
Headache,Any emergency warning signs (Variant 1260)?,Emergency Flag,Yes/No,Low,MSK,No
Dizziness,Since how many days (Variant 1261)?,Duration,Numeric,Medium,Dermatology,Yes
Dizziness,"Mild, moderate or severe (Variant 1262)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Dizziness,How frequently does it occur (Variant 1263)?,Frequency,Occasional/Frequent,Low,General,Yes
Dizziness,When did it start worsening (Variant 1264)?,Progression,Numeric,Medium,Respiratory,No
Dizziness,Any associated symptoms present (Variant 1265)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Dizziness,Triggered by activity (Variant 1266)?,Trigger,Yes/No,Low,Neurology,No
Dizziness,Localized or widespread (Variant 1267)?,Location,Localized/Diffuse,Medium,GI,Yes
Dizziness,Constant or intermittent (Variant 1268)?,Pattern,Constant/Intermittent,High,Endocrine,No
Dizziness,Does it affect daily activities (Variant 1269)?,Impact,Yes/No,Low,MSK,Yes
Dizziness,Any emergency warning signs (Variant 1270)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Nausea,Since how many days (Variant 1271)?,Duration,Numeric,High,Emergency,Yes
Nausea,"Mild, moderate or severe (Variant 1272)?",Severity,Mild/Moderate/Severe,Low,General,No
Nausea,How frequently does it occur (Variant 1273)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Nausea,When did it start worsening (Variant 1274)?,Progression,Numeric,High,Cardiac,No
Nausea,Any associated symptoms present (Variant 1275)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Nausea,Triggered by activity (Variant 1276)?,Trigger,Yes/No,Medium,GI,No
Nausea,Localized or widespread (Variant 1277)?,Location,Localized/Diffuse,High,Endocrine,Yes
Nausea,Constant or intermittent (Variant 1278)?,Pattern,Constant/Intermittent,Low,MSK,No
Nausea,Does it affect daily activities (Variant 1279)?,Impact,Yes/No,Medium,Dermatology,Yes
Nausea,Any emergency warning signs (Variant 1280)?,Emergency Flag,Yes/No,High,Emergency,No
Vomiting,Since how many days (Variant 1281)?,Duration,Numeric,Low,General,Yes
Vomiting,"Mild, moderate or severe (Variant 1282)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Vomiting,How frequently does it occur (Variant 1283)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Vomiting,When did it start worsening (Variant 1284)?,Progression,Numeric,Low,Neurology,No
Vomiting,Any associated symptoms present (Variant 1285)?,Associated Symptom,Yes/No,Medium,GI,Yes
Vomiting,Triggered by activity (Variant 1286)?,Trigger,Yes/No,High,Endocrine,No
Vomiting,Localized or widespread (Variant 1287)?,Location,Localized/Diffuse,Low,MSK,Yes
Vomiting,Constant or intermittent (Variant 1288)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Vomiting,Does it affect daily activities (Variant 1289)?,Impact,Yes/No,High,Emergency,Yes
Vomiting,Any emergency warning signs (Variant 1290)?,Emergency Flag,Yes/No,Low,General,No
Diarrhea,Since how many days (Variant 1291)?,Duration,Numeric,Medium,Respiratory,Yes
Diarrhea,"Mild, moderate or severe (Variant 1292)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Diarrhea,How frequently does it occur (Variant 1293)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Diarrhea,When did it start worsening (Variant 1294)?,Progression,Numeric,Medium,GI,No
Diarrhea,Any associated symptoms present (Variant 1295)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Diarrhea,Triggered by activity (Variant 1296)?,Trigger,Yes/No,Low,MSK,No
Diarrhea,Localized or widespread (Variant 1297)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Diarrhea,Constant or intermittent (Variant 1298)?,Pattern,Constant/Intermittent,High,Emergency,No
Diarrhea,Does it affect daily activities (Variant 1299)?,Impact,Yes/No,Low,General,Yes
Diarrhea,Any emergency warning signs (Variant 1300)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Constipation,Since how many days (Variant 1301)?,Duration,Numeric,High,Cardiac,Yes
Constipation,"Mild, moderate or severe (Variant 1302)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Constipation,How frequently does it occur (Variant 1303)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Constipation,When did it start worsening (Variant 1304)?,Progression,Numeric,High,Endocrine,No
Constipation,Any associated symptoms present (Variant 1305)?,Associated Symptom,Yes/No,Low,MSK,Yes
Constipation,Triggered by activity (Variant 1306)?,Trigger,Yes/No,Medium,Dermatology,No
Constipation,Localized or widespread (Variant 1307)?,Location,Localized/Diffuse,High,Emergency,Yes
Constipation,Constant or intermittent (Variant 1308)?,Pattern,Constant/Intermittent,Low,General,No
Constipation,Does it affect daily activities (Variant 1309)?,Impact,Yes/No,Medium,Respiratory,Yes
Constipation,Any emergency warning signs (Variant 1310)?,Emergency Flag,Yes/No,High,Cardiac,No
Abdominal Pain,Since how many days (Variant 1311)?,Duration,Numeric,Low,Neurology,Yes
Abdominal Pain,"Mild, moderate or severe (Variant 1312)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Abdominal Pain,How frequently does it occur (Variant 1313)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Abdominal Pain,When did it start worsening (Variant 1314)?,Progression,Numeric,Low,MSK,No
Abdominal Pain,Any associated symptoms present (Variant 1315)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Abdominal Pain,Triggered by activity (Variant 1316)?,Trigger,Yes/No,High,Emergency,No
Abdominal Pain,Localized or widespread (Variant 1317)?,Location,Localized/Diffuse,Low,General,Yes
Abdominal Pain,Constant or intermittent (Variant 1318)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Abdominal Pain,Does it affect daily activities (Variant 1319)?,Impact,Yes/No,High,Cardiac,Yes
Abdominal Pain,Any emergency warning signs (Variant 1320)?,Emergency Flag,Yes/No,Low,Neurology,No
Back Pain,Since how many days (Variant 1321)?,Duration,Numeric,Medium,GI,Yes
Back Pain,"Mild, moderate or severe (Variant 1322)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Back Pain,How frequently does it occur (Variant 1323)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Back Pain,When did it start worsening (Variant 1324)?,Progression,Numeric,Medium,Dermatology,No
Back Pain,Any associated symptoms present (Variant 1325)?,Associated Symptom,Yes/No,High,Emergency,Yes
Back Pain,Triggered by activity (Variant 1326)?,Trigger,Yes/No,Low,General,No
Back Pain,Localized or widespread (Variant 1327)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Back Pain,Constant or intermittent (Variant 1328)?,Pattern,Constant/Intermittent,High,Cardiac,No
Back Pain,Does it affect daily activities (Variant 1329)?,Impact,Yes/No,Low,Neurology,Yes
Back Pain,Any emergency warning signs (Variant 1330)?,Emergency Flag,Yes/No,Medium,GI,No
Joint Pain,Since how many days (Variant 1331)?,Duration,Numeric,High,Endocrine,Yes
Joint Pain,"Mild, moderate or severe (Variant 1332)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Joint Pain,How frequently does it occur (Variant 1333)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Joint Pain,When did it start worsening (Variant 1334)?,Progression,Numeric,High,Emergency,No
Joint Pain,Any associated symptoms present (Variant 1335)?,Associated Symptom,Yes/No,Low,General,Yes
Joint Pain,Triggered by activity (Variant 1336)?,Trigger,Yes/No,Medium,Respiratory,No
Joint Pain,Localized or widespread (Variant 1337)?,Location,Localized/Diffuse,High,Cardiac,Yes
Joint Pain,Constant or intermittent (Variant 1338)?,Pattern,Constant/Intermittent,Low,Neurology,No
Joint Pain,Does it affect daily activities (Variant 1339)?,Impact,Yes/No,Medium,GI,Yes
Joint Pain,Any emergency warning signs (Variant 1340)?,Emergency Flag,Yes/No,High,Endocrine,No
Muscle Pain,Since how many days (Variant 1341)?,Duration,Numeric,Low,MSK,Yes
Muscle Pain,"Mild, moderate or severe (Variant 1342)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Muscle Pain,How frequently does it occur (Variant 1343)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Muscle Pain,When did it start worsening (Variant 1344)?,Progression,Numeric,Low,General,No
Muscle Pain,Any associated symptoms present (Variant 1345)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Muscle Pain,Triggered by activity (Variant 1346)?,Trigger,Yes/No,High,Cardiac,No
Muscle Pain,Localized or widespread (Variant 1347)?,Location,Localized/Diffuse,Low,Neurology,Yes
Muscle Pain,Constant or intermittent (Variant 1348)?,Pattern,Constant/Intermittent,Medium,GI,No
Muscle Pain,Does it affect daily activities (Variant 1349)?,Impact,Yes/No,High,Endocrine,Yes
