disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Inflammatory Renal Neuropathy 739,Inflammatory Renal Neuropathy 739 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Common,Diagnostics
Metabolic Renal Neuropathy 740,Metabolic Renal Neuropathy 740 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Uncommon,Specialist Referral
Acute Hepatic Neuropathy 741,Acute Hepatic Neuropathy 741 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Rare,Medication
Chronic Hepatic Neuropathy 742,Chronic Hepatic Neuropathy 742 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Common,Lifestyle
Autoimmune Hepatic Neuropathy 743,Autoimmune Hepatic Neuropathy 743 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Uncommon,Diagnostics
Idiopathic Hepatic Neuropathy 744,Idiopathic Hepatic Neuropathy 744 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Rare,Specialist Referral
Primary Hepatic Neuropathy 745,Primary Hepatic Neuropathy 745 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Common,Medication
Secondary Hepatic Neuropathy 746,Secondary Hepatic Neuropathy 746 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Uncommon,Lifestyle
Progressive Hepatic Neuropathy 747,Progressive Hepatic Neuropathy 747 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Rare,Diagnostics
Congenital Hepatic Neuropathy 748,Congenital Hepatic Neuropathy 748 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Common,Specialist Referral
Inflammatory Hepatic Neuropathy 749,Inflammatory Hepatic Neuropathy 749 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Uncommon,Medication
Metabolic Hepatic Neuropathy 750,Metabolic Hepatic Neuropathy 750 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Rare,Lifestyle
Acute Endocrine Neuropathy 751,Acute Endocrine Neuropathy 751 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Common,Diagnostics
Chronic Endocrine Neuropathy 752,Chronic Endocrine Neuropathy 752 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Uncommon,Specialist Referral
Autoimmune Endocrine Neuropathy 753,Autoimmune Endocrine Neuropathy 753 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Rare,Medication
Idiopathic Endocrine Neuropathy 754,Idiopathic Endocrine Neuropathy 754 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Common,Lifestyle
Primary Endocrine Neuropathy 755,Primary Endocrine Neuropathy 755 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Uncommon,Diagnostics
Secondary Endocrine Neuropathy 756,Secondary Endocrine Neuropathy 756 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Rare,Specialist Referral
Progressive Endocrine Neuropathy 757,Progressive Endocrine Neuropathy 757 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Common,Medication
Congenital Endocrine Neuropathy 758,Congenital Endocrine Neuropathy 758 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Uncommon,Lifestyle
Inflammatory Endocrine Neuropathy 759,Inflammatory Endocrine Neuropathy 759 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Rare,Diagnostics
Metabolic Endocrine Neuropathy 760,Metabolic Endocrine Neuropathy 760 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Common,Specialist Referral
Acute Gastro Neuropathy 761,Acute Gastro Neuropathy 761 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Uncommon,Medication
Chronic Gastro Neuropathy 762,Chronic Gastro Neuropathy 762 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Rare,Lifestyle
Autoimmune Gastro Neuropathy 763,Autoimmune Gastro Neuropathy 763 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Common,Diagnostics
Idiopathic Gastro Neuropathy 764,Idiopathic Gastro Neuropathy 764 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Uncommon,Specialist Referral
Primary Gastro Neuropathy 765,Primary Gastro Neuropathy 765 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Rare,Medication
Secondary Gastro Neuropathy 766,Secondary Gastro Neuropathy 766 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Common,Lifestyle
Progressive Gastro Neuropathy 767,Progressive Gastro Neuropathy 767 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Uncommon,Diagnostics
Congenital Gastro Neuropathy 768,Congenital Gastro Neuropathy 768 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Rare,Specialist Referral
Inflammatory Gastro Neuropathy 769,Inflammatory Gastro Neuropathy 769 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Common,Medication
Metabolic Gastro Neuropathy 770,Metabolic Gastro Neuropathy 770 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Uncommon,Lifestyle
Acute Dermatologic Neuropathy 771,Acute Dermatologic Neuropathy 771 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Rare,Diagnostics
Chronic Dermatologic Neuropathy 772,Chronic Dermatologic Neuropathy 772 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Common,Specialist Referral
Autoimmune Dermatologic Neuropathy 773,Autoimmune Dermatologic Neuropathy 773 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Uncommon,Medication
Idiopathic Dermatologic Neuropathy 774,Idiopathic Dermatologic Neuropathy 774 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Rare,Lifestyle
Primary Dermatologic Neuropathy 775,Primary Dermatologic Neuropathy 775 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Common,Diagnostics
Secondary Dermatologic Neuropathy 776,Secondary Dermatologic Neuropathy 776 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Uncommon,Specialist Referral
Progressive Dermatologic Neuropathy 777,Progressive Dermatologic Neuropathy 777 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Rare,Medication
Congenital Dermatologic Neuropathy 778,Congenital Dermatologic Neuropathy 778 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Common,Lifestyle
Inflammatory Dermatologic Neuropathy 779,Inflammatory Dermatologic Neuropathy 779 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Uncommon,Diagnostics
Metabolic Dermatologic Neuropathy 780,Metabolic Dermatologic Neuropathy 780 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Rare,Specialist Referral
Acute Hematologic Neuropathy 781,Acute Hematologic Neuropathy 781 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Common,Medication
Chronic Hematologic Neuropathy 782,Chronic Hematologic Neuropathy 782 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Uncommon,Lifestyle
Autoimmune Hematologic Neuropathy 783,Autoimmune Hematologic Neuropathy 783 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Rare,Diagnostics
Idiopathic Hematologic Neuropathy 784,Idiopathic Hematologic Neuropathy 784 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Common,Specialist Referral
Primary Hematologic Neuropathy 785,Primary Hematologic Neuropathy 785 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Uncommon,Medication
Secondary Hematologic Neuropathy 786,Secondary Hematologic Neuropathy 786 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Rare,Lifestyle
Progressive Hematologic Neuropathy 787,Progressive Hematologic Neuropathy 787 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Common,Diagnostics
Congenital Hematologic Neuropathy 788,Congenital Hematologic Neuropathy 788 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Uncommon,Specialist Referral
Inflammatory Hematologic Neuropathy 789,Inflammatory Hematologic Neuropathy 789 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Rare,Medication
Metabolic Hematologic Neuropathy 790,Metabolic Hematologic Neuropathy 790 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Common,Lifestyle
Acute Musculoskeletal Neuropathy 791,Acute Musculoskeletal Neuropathy 791 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Uncommon,Diagnostics
Chronic Musculoskeletal Neuropathy 792,Chronic Musculoskeletal Neuropathy 792 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Rare,Specialist Referral
Autoimmune Musculoskeletal Neuropathy 793,Autoimmune Musculoskeletal Neuropathy 793 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Common,Medication
Idiopathic Musculoskeletal Neuropathy 794,Idiopathic Musculoskeletal Neuropathy 794 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Uncommon,Lifestyle
Primary Musculoskeletal Neuropathy 795,Primary Musculoskeletal Neuropathy 795 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Rare,Diagnostics
Secondary Musculoskeletal Neuropathy 796,Secondary Musculoskeletal Neuropathy 796 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Common,Specialist Referral
Progressive Musculoskeletal Neuropathy 797,Progressive Musculoskeletal Neuropathy 797 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Uncommon,Medication
Congenital Musculoskeletal Neuropathy 798,Congenital Musculoskeletal Neuropathy 798 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Rare,Lifestyle
Inflammatory Musculoskeletal Neuropathy 799,Inflammatory Musculoskeletal Neuropathy 799 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Common,Diagnostics
Metabolic Musculoskeletal Neuropathy 800,Metabolic Musculoskeletal Neuropathy 800 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Uncommon,Specialist Referral
Acute Respiratory Inflammation 801,Acute Respiratory Inflammation 801 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Rare,Medication
Chronic Respiratory Inflammation 802,Chronic Respiratory Inflammation 802 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Common,Lifestyle
Autoimmune Respiratory Inflammation 803,Autoimmune Respiratory Inflammation 803 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Uncommon,Diagnostics
Idiopathic Respiratory Inflammation 804,Idiopathic Respiratory Inflammation 804 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Rare,Specialist Referral
Primary Respiratory Inflammation 805,Primary Respiratory Inflammation 805 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Common,Medication
Secondary Respiratory Inflammation 806,Secondary Respiratory Inflammation 806 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Uncommon,Lifestyle
Progressive Respiratory Inflammation 807,Progressive Respiratory Inflammation 807 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Rare,Diagnostics
Congenital Respiratory Inflammation 808,Congenital Respiratory Inflammation 808 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Common,Specialist Referral
Inflammatory Respiratory Inflammation 809,Inflammatory Respiratory Inflammation 809 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Uncommon,Medication
Metabolic Respiratory Inflammation 810,Metabolic Respiratory Inflammation 810 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Rare,Lifestyle
Acute Cardiac Inflammation 811,Acute Cardiac Inflammation 811 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Common,Diagnostics
Chronic Cardiac Inflammation 812,Chronic Cardiac Inflammation 812 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Uncommon,Specialist Referral
Autoimmune Cardiac Inflammation 813,Autoimmune Cardiac Inflammation 813 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Rare,Medication
Idiopathic Cardiac Inflammation 814,Idiopathic Cardiac Inflammation 814 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Common,Lifestyle
Primary Cardiac Inflammation 815,Primary Cardiac Inflammation 815 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Uncommon,Diagnostics
Secondary Cardiac Inflammation 816,Secondary Cardiac Inflammation 816 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Rare,Specialist Referral
Progressive Cardiac Inflammation 817,Progressive Cardiac Inflammation 817 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Common,Medication
Congenital Cardiac Inflammation 818,Congenital Cardiac Inflammation 818 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Uncommon,Lifestyle
Inflammatory Cardiac Inflammation 819,Inflammatory Cardiac Inflammation 819 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Rare,Diagnostics
Metabolic Cardiac Inflammation 820,Metabolic Cardiac Inflammation 820 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Common,Specialist Referral
Acute Neurological Inflammation 821,Acute Neurological Inflammation 821 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Uncommon,Medication
Chronic Neurological Inflammation 822,Chronic Neurological Inflammation 822 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Rare,Lifestyle
Autoimmune Neurological Inflammation 823,Autoimmune Neurological Inflammation 823 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Common,Diagnostics
Idiopathic Neurological Inflammation 824,Idiopathic Neurological Inflammation 824 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Uncommon,Specialist Referral
Primary Neurological Inflammation 825,Primary Neurological Inflammation 825 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Rare,Medication
Secondary Neurological Inflammation 826,Secondary Neurological Inflammation 826 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Common,Lifestyle
Progressive Neurological Inflammation 827,Progressive Neurological Inflammation 827 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Uncommon,Diagnostics
Congenital Neurological Inflammation 828,Congenital Neurological Inflammation 828 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Rare,Specialist Referral
Inflammatory Neurological Inflammation 829,Inflammatory Neurological Inflammation 829 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Common,Medication
Metabolic Neurological Inflammation 830,Metabolic Neurological Inflammation 830 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Neurological complications,Uncommon,Lifestyle
Acute Renal Inflammation 831,Acute Renal Inflammation 831 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Organ dysfunction,Rare,Diagnostics
Chronic Renal Inflammation 832,Chronic Renal Inflammation 832 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Secondary infection,Common,Specialist Referral
Autoimmune Renal Inflammation 833,Autoimmune Renal Inflammation 833 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Inflammation complications,Uncommon,Medication
Idiopathic Renal Inflammation 834,Idiopathic Renal Inflammation 834 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Rare,Lifestyle
Primary Renal Inflammation 835,Primary Renal Inflammation 835 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Neurological complications,Common,Diagnostics
Secondary Renal Inflammation 836,Secondary Renal Inflammation 836 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Organ dysfunction,Uncommon,Specialist Referral
Progressive Renal Inflammation 837,Progressive Renal Inflammation 837 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Secondary infection,Rare,Medication
Congenital Renal Inflammation 838,Congenital Renal Inflammation 838 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Inflammation complications,Common,Lifestyle
Inflammatory Renal Inflammation 839,Inflammatory Renal Inflammation 839 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Metabolic imbalance,Uncommon,Diagnostics
Metabolic Renal Inflammation 840,Metabolic Renal Inflammation 840 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Neurological complications,Rare,Specialist Referral
Acute Hepatic Inflammation 841,Acute Hepatic Inflammation 841 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Common,Medication
Chronic Hepatic Inflammation 842,Chronic Hepatic Inflammation 842 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Uncommon,Lifestyle
Autoimmune Hepatic Inflammation 843,Autoimmune Hepatic Inflammation 843 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Rare,Diagnostics
Idiopathic Hepatic Inflammation 844,Idiopathic Hepatic Inflammation 844 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Common,Specialist Referral
Primary Hepatic Inflammation 845,Primary Hepatic Inflammation 845 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Uncommon,Medication
Secondary Hepatic Inflammation 846,Secondary Hepatic Inflammation 846 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Rare,Lifestyle
Progressive Hepatic Inflammation 847,Progressive Hepatic Inflammation 847 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Common,Diagnostics
Congenital Hepatic Inflammation 848,Congenital Hepatic Inflammation 848 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Uncommon,Specialist Referral
Inflammatory Hepatic Inflammation 849,Inflammatory Hepatic Inflammation 849 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Rare,Medication
Metabolic Hepatic Inflammation 850,Metabolic Hepatic Inflammation 850 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Common,Lifestyle
Acute Endocrine Inflammation 851,Acute Endocrine Inflammation 851 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Uncommon,Diagnostics
Chronic Endocrine Inflammation 852,Chronic Endocrine Inflammation 852 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Rare,Specialist Referral
Autoimmune Endocrine Inflammation 853,Autoimmune Endocrine Inflammation 853 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Common,Medication
Idiopathic Endocrine Inflammation 854,Idiopathic Endocrine Inflammation 854 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Metabolic imbalance,Uncommon,Lifestyle
Primary Endocrine Inflammation 855,Primary Endocrine Inflammation 855 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Neurological complications,Rare,Diagnostics
Secondary Endocrine Inflammation 856,Secondary Endocrine Inflammation 856 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Organ dysfunction,Common,Specialist Referral
Progressive Endocrine Inflammation 857,Progressive Endocrine Inflammation 857 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Secondary infection,Uncommon,Medication
Congenital Endocrine Inflammation 858,Congenital Endocrine Inflammation 858 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Inflammation complications,Rare,Lifestyle
Inflammatory Endocrine Inflammation 859,Inflammatory Endocrine Inflammation 859 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Metabolic imbalance,Common,Diagnostics
Metabolic Endocrine Inflammation 860,Metabolic Endocrine Inflammation 860 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Neurological complications,Uncommon,Specialist Referral
Acute Gastro Inflammation 861,Acute Gastro Inflammation 861 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Organ dysfunction,Rare,Medication
Chronic Gastro Inflammation 862,Chronic Gastro Inflammation 862 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Secondary infection,Common,Lifestyle
Autoimmune Gastro Inflammation 863,Autoimmune Gastro Inflammation 863 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Inflammation complications,Uncommon,Diagnostics
Idiopathic Gastro Inflammation 864,Idiopathic Gastro Inflammation 864 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Metabolic imbalance,Rare,Specialist Referral
Primary Gastro Inflammation 865,Primary Gastro Inflammation 865 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Neurological complications,Common,Medication
Secondary Gastro Inflammation 866,Secondary Gastro Inflammation 866 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Organ dysfunction,Uncommon,Lifestyle
Progressive Gastro Inflammation 867,Progressive Gastro Inflammation 867 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Secondary infection,Rare,Diagnostics
Congenital Gastro Inflammation 868,Congenital Gastro Inflammation 868 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Inflammation complications,Common,Specialist Referral
Inflammatory Gastro Inflammation 869,Inflammatory Gastro Inflammation 869 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Metabolic imbalance,Uncommon,Medication
