id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
237,Hypertension,Cardiovascular,Severe,Child,"headaches, shortness of breath, nosebleeds, fatigue, dehydration",Severe case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Child.,Avoid triggers like spicy food or allergens.
238,Urinary Tract Infection,Urinary,Acute,Female,"burning during urination, frequent urge to urinate, cloudy urine",Acute case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Female.,Seek immediate medical attention.
239,Muscle Strain,Musculoskeletal,Severe,Female,"sudden pain, swelling, muscle weakness, bruising, fatigue, dehydration",Severe case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Female.,Maintain good hygiene.
240,Cold Sore,Skin,Chronic,Child,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Child.,Home remedies can alleviate symptoms.
241,Menstrual Cramps,Reproductive,Chronic,Adult,"throbbing pain in lower abdomen, nausea, headache",Chronic case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Adult.,Monitor symptoms closely.
242,Tension Headache,Neurological,Moderate,Female,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Female.",Apply ice or heat to the affected area.
243,Canker Sore,Dental,Moderate,Male,"small ulcer in mouth, pain, difficulty eating","Moderate case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Male.",Rest and hydration recommended.
244,Gastroenteritis,Digestive,Mild,Child,"diarrhea,  stomach cramps","Mild case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Child.",Seek immediate medical attention.
245,Sunburn,Skin,Mild,Child,"red skin,  pain",Mild case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Child.,Apply ice or heat to the affected area.
246,Migraine,Neurological,Mild,Male,"severe headache,  nausea",Mild case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
247,Insomnia,Mental Health,Mild,General,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: General.,Over-the-counter medication may help.
248,Heartburn,Digestive,Chronic,Female,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Chronic case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Female.",Rest and hydration recommended.
249,Acid Reflux,Digestive,Mild,Adult,"heartburn,  chest pain",Mild case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Adult.,Monitor symptoms closely.
250,Ear Infection,Ears,Moderate,Child,"ear pain, difficulty hearing, drainage from ear",Moderate case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Child.,Seek immediate medical attention.
251,Influenza B,Respiratory,Mild,Adult,"fever,  chills","Mild case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Adult.",Monitor symptoms closely.
252,Hypertension,Cardiovascular,Severe,Female,"headaches, shortness of breath, nosebleeds, fatigue, dehydration",Severe case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Female.,Avoid triggers like spicy food or allergens.
253,Jock Itch,Skin,Chronic,General,"red, itchy rash in the groin area, burning sensation","Chronic case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: General.",Maintain good hygiene.
254,Jock Itch,Skin,Moderate,Elderly,"red, itchy rash in the groin area, burning sensation","Moderate case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Elderly.",Home remedies can alleviate symptoms.
255,Canker Sore,Dental,Severe,Female,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Female.",Avoid triggers like spicy food or allergens.
256,Sunburn,Skin,Moderate,Child,"red skin, pain, swelling, blisters",Moderate case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Child.,Apply ice or heat to the affected area.
257,Strep Throat,Respiratory,Chronic,Child,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
258,Dandruff,Skin,Acute,Female,"flaking scalp, itching, dry skin",Acute case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Female.,Seek immediate medical attention.
259,Tension Headache,Neurological,Chronic,Elderly,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
260,Ear Infection,Ears,Moderate,Child,"ear pain, difficulty hearing, drainage from ear",Moderate case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Child.,Avoid triggers like spicy food or allergens.
261,Pink Eye,Eyes,Mild,Adult,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
262,Heat Exhaustion,Environmental,Mild,General,"heavy sweating,  faintness",Mild case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: General.,Monitor symptoms closely.
263,Cold Sore,Skin,Chronic,Adult,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
264,Eczema,Skin,Severe,General,"dry, itchy skin, redness, cracked skin, fatigue, dehydration","Severe case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: General.",Over-the-counter medication may help.
265,Tension Headache,Neurological,Chronic,Female,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Female.",Prescription medication might be required.
266,Allergic Rhinitis,Immune,Acute,Male,"sneezing, runny nose, itchy eyes, congestion",Acute case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Male.,Home remedies can alleviate symptoms.
267,Asthma,Respiratory,Mild,Adult,"wheezing,  shortness of breath",Mild case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Adult.,Apply ice or heat to the affected area.
268,Influenza B,Respiratory,Chronic,Child,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Home remedies can alleviate symptoms.
269,Sinusitis,Respiratory,Mild,Female,"facial pain,  thick nasal discharge",Mild case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Female.,Over-the-counter medication may help.
270,Hypertension,Cardiovascular,Acute,Child,"headaches, shortness of breath, nosebleeds",Acute case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Child.,Home remedies can alleviate symptoms.
271,Gingivitis,Dental,Acute,Adult,"swollen gums, bleeding gums, bad breath, receding gums",Acute case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
272,Hypertension,Cardiovascular,Chronic,Female,"headaches, shortness of breath, nosebleeds",Chronic case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Female.,Seek immediate medical attention.
273,Dandruff,Skin,Mild,Child,"flaking scalp,  itching",Mild case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Child.,Apply ice or heat to the affected area.
274,Ear Infection,Ears,Acute,Male,"ear pain, difficulty hearing, drainage from ear",Acute case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Male.,Maintain good hygiene.
275,Strep Throat,Respiratory,Chronic,General,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: General.,Avoid triggers like spicy food or allergens.
276,Influenza,Respiratory,Moderate,Female,"high fever, chills, muscle aches, fatigue, cough",Moderate case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Female.,Maintain good hygiene.
277,Indigestion,Digestive,Moderate,Elderly,"upper abdominal pain, bloating, belching, nausea",Moderate case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Elderly.,Apply ice or heat to the affected area.
278,Fever,General,Severe,Child,"elevated body temperature, sweating, chills, headache, fatigue, dehydration","Severe case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Child.",Consult a doctor if symptoms persist for more than 48 hours.
279,Pink Eye,Eyes,Acute,Child,"redness, itching, discharge, tearing",Acute case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Child.,Avoid triggers like spicy food or allergens.
280,Gingivitis,Dental,Moderate,Adult,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
281,Laryngitis,Respiratory,Chronic,Female,"hoarseness, weak voice, sore throat, dry cough","Chronic case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Female.",Monitor symptoms closely.
282,Influenza,Respiratory,Mild,Female,"high fever,  chills",Mild case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Female.,Monitor symptoms closely.
283,Tension Headache,Neurological,Moderate,Adult,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Adult.",Avoid triggers like spicy food or allergens.
284,Anxiety,Mental Health,Chronic,Male,"nervousness, rapid heart rate, trembling, sweating","Chronic case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Male.",Over-the-counter medication may help.
285,Common Cold,Respiratory,Mild,Male,"runny nose,  sore throat",Mild case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Male.,Over-the-counter medication may help.
286,Migraine,Neurological,Acute,Female,"severe headache, nausea, sensitivity to light, blurred vision",Acute case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Female.,Seek immediate medical attention.
287,Allergic Rhinitis,Immune,Acute,Child,"sneezing, runny nose, itchy eyes, congestion",Acute case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Child.,Apply ice or heat to the affected area.
288,Sinusitis,Respiratory,Acute,Female,"facial pain, thick nasal discharge, headache, cough",Acute case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Female.,Rest and hydration recommended.
289,Nosebleed,General,Acute,Female,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Female.",Home remedies can alleviate symptoms.
290,Tennis Elbow,Musculoskeletal,Acute,Elderly,"pain on outer elbow, weak grip, burning sensation","Acute case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Elderly.",Over-the-counter medication may help.
291,Urinary Tract Infection,Urinary,Acute,Male,"burning during urination, frequent urge to urinate, cloudy urine",Acute case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Male.,Monitor symptoms closely.
292,Type 2 Diabetes,Metabolic,Mild,General,"increased thirst,  frequent urination",Mild case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
293,Constipation,Digestive,Severe,Elderly,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Apply ice or heat to the affected area.
294,Strep Throat,Respiratory,Chronic,Male,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Male.,Prescription medication might be required.
295,Allergic Rhinitis,Immune,Severe,General,"sneezing, runny nose, itchy eyes, congestion, fatigue, dehydration",Severe case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: General.,Maintain good hygiene.
296,Asthma,Respiratory,Moderate,Female,"wheezing, shortness of breath, chest tightness, coughing",Moderate case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Female.,Over-the-counter medication may help.
297,Indigestion,Digestive,Moderate,General,"upper abdominal pain, bloating, belching, nausea",Moderate case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: General.,Over-the-counter medication may help.
298,Heartburn,Digestive,Severe,Male,"burning pain in chest, sour taste in mouth, pain worsening when lying down, fatigue, dehydration","Severe case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Male.",Monitor symptoms closely.
299,Common Cold,Respiratory,Chronic,Elderly,"runny nose, sore throat, coughing, sneezing",Chronic case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Elderly.,Home remedies can alleviate symptoms.
300,Heat Exhaustion,Environmental,Severe,Female,"heavy sweating, faintness, dizziness, fatigue, cool skin, fatigue, dehydration",Severe case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Female.,Prescription medication might be required.
301,Hypertension,Cardiovascular,Moderate,Elderly,"headaches, shortness of breath, nosebleeds",Moderate case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
302,Laryngitis,Respiratory,Mild,Elderly,"hoarseness,  weak voice","Mild case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
303,Sinusitis,Respiratory,Mild,Adult,"facial pain,  thick nasal discharge",Mild case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Adult.,Seek immediate medical attention.
304,Dehydration,Metabolic,Moderate,General,"extreme thirst, dry mouth, dark urine, fatigue",Moderate case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: General.,Monitor symptoms closely.
305,Influenza,Respiratory,Moderate,General,"high fever, chills, muscle aches, fatigue, cough",Moderate case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: General.,Seek immediate medical attention.
306,Viral Pharyngitis,Respiratory,Acute,Adult,"sore throat, scratchy throat, difficulty swallowing","Acute case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Adult.",Prescription medication might be required.
307,Sunburn,Skin,Moderate,Child,"red skin, pain, swelling, blisters",Moderate case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Child.,Home remedies can alleviate symptoms.
308,Food Poisoning,Digestive,Severe,Adult,"nausea, vomiting, watery diarrhea, abdominal pain, fatigue, dehydration",Severe case of Food Poisoning. Illness caused by consuming contaminated food. Target demographic: Adult.,Home remedies can alleviate symptoms.
309,Tension Headache,Neurological,Mild,General,"dull head pain,  pressure across forehead","Mild case of Tension Headache. The most common type of headache, often stress-related. Target demographic: General.",Home remedies can alleviate symptoms.
310,Canker Sore,Dental,Mild,Adult,"small ulcer in mouth,  pain","Mild case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Adult.",Seek immediate medical attention.
311,Nausea,Digestive,Acute,Male,"feeling sick to stomach, urge to vomit, dizziness",Acute case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Male.,Apply ice or heat to the affected area.
312,Hives,Skin,Chronic,Elderly,"red welts, itching, swelling, burning sensation","Chronic case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Elderly.",Apply ice or heat to the affected area.
313,Cold Sore,Skin,Mild,Elderly,"tingling,  blisters on lip",Mild case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
314,Canker Sore,Dental,Moderate,Elderly,"small ulcer in mouth, pain, difficulty eating","Moderate case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
315,Eczema,Skin,Mild,General,"dry,  itchy skin","Mild case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: General.",Seek immediate medical attention.
316,Carpal Tunnel,Musculoskeletal,Moderate,General,"numbness, tingling, weakness in hand",Moderate case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Monitor symptoms closely.
317,Motion Sickness,Neurological,Moderate,General,"nausea, vomiting, dizziness, cold sweats","Moderate case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: General.",Seek immediate medical attention.
318,Canker Sore,Dental,Severe,Elderly,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Elderly.",Apply ice or heat to the affected area.
319,Hives,Skin,Severe,Female,"red welts, itching, swelling, burning sensation, fatigue, dehydration","Severe case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Female.",Maintain good hygiene.
320,Ear Infection,Ears,Acute,Female,"ear pain, difficulty hearing, drainage from ear",Acute case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Female.,Over-the-counter medication may help.
321,Heat Exhaustion,Environmental,Moderate,Female,"heavy sweating, faintness, dizziness, fatigue, cool skin",Moderate case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Female.,Seek immediate medical attention.
322,Lower Back Pain,Musculoskeletal,Moderate,General,"pain in lower back, stiffness, reduced range of motion","Moderate case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: General.",Avoid triggers like spicy food or allergens.
323,Type 2 Diabetes,Metabolic,Mild,Adult,"increased thirst,  frequent urination",Mild case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
324,Laryngitis,Respiratory,Acute,Female,"hoarseness, weak voice, sore throat, dry cough","Acute case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Female.",Over-the-counter medication may help.
325,Strep Throat,Respiratory,Severe,Adult,"throat pain, fever, swollen lymph nodes, white patches on tonsils, fatigue, dehydration",Severe case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
326,Lower Back Pain,Musculoskeletal,Moderate,General,"pain in lower back, stiffness, reduced range of motion","Moderate case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: General.",Home remedies can alleviate symptoms.
327,Heat Exhaustion,Environmental,Acute,Female,"heavy sweating, faintness, dizziness, fatigue, cool skin",Acute case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Female.,Home remedies can alleviate symptoms.
328,Pink Eye,Eyes,Mild,Female,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Female.,Monitor symptoms closely.
329,Yeast Infection,Reproductive,Mild,Adult,"itching,  irritation","Mild case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Adult.",Prescription medication might be required.
330,Gastroenteritis,Digestive,Chronic,General,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: General.",Seek immediate medical attention.
331,Yeast Infection,Reproductive,Moderate,Elderly,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Elderly.",Home remedies can alleviate symptoms.
332,Laryngitis,Respiratory,Moderate,Adult,"hoarseness, weak voice, sore throat, dry cough","Moderate case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Adult.",Rest and hydration recommended.
333,Allergic Rhinitis,Immune,Severe,Elderly,"sneezing, runny nose, itchy eyes, congestion, fatigue, dehydration",Severe case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Prescription medication might be required.
334,Motion Sickness,Neurological,Chronic,General,"nausea, vomiting, dizziness, cold sweats","Chronic case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: General.",Consult a doctor if symptoms persist for more than 48 hours.
335,Constipation,Digestive,Chronic,Male,"infrequent bowel movements, hard stools, straining",Chronic case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Male.,Maintain good hygiene.
336,Allergic Rhinitis,Immune,Mild,Elderly,"sneezing,  runny nose",Mild case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Apply ice or heat to the affected area.
337,Strep Throat,Respiratory,Severe,Child,"throat pain, fever, swollen lymph nodes, white patches on tonsils, fatigue, dehydration",Severe case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Child.,Prescription medication might be required.
338,Anxiety,Mental Health,Chronic,Elderly,"nervousness, rapid heart rate, trembling, sweating","Chronic case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
339,Tension Headache,Neurological,Moderate,Male,"dull head pain, pressure across forehead, scalp tenderness","Moderate case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Monitor symptoms closely.
340,Nosebleed,General,Moderate,Female,"bleeding from nose, dry nasal membranes","Moderate case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Female.",Apply ice or heat to the affected area.
341,Common Cold,Respiratory,Severe,Elderly,"runny nose, sore throat, coughing, sneezing, fatigue, dehydration",Severe case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Elderly.,Maintain good hygiene.
342,Influenza,Respiratory,Severe,General,"high fever, chills, muscle aches, fatigue, cough, fatigue, dehydration",Severe case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: General.,Home remedies can alleviate symptoms.
343,Menstrual Cramps,Reproductive,Moderate,General,"throbbing pain in lower abdomen, nausea, headache",Moderate case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: General.,Seek immediate medical attention.
344,Influenza B,Respiratory,Mild,Female,"fever,  chills","Mild case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Female.",Seek immediate medical attention.
345,Osteoarthritis,Musculoskeletal,Chronic,General,"joint pain, stiffness, tenderness, loss of flexibility","Chronic case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Home remedies can alleviate symptoms.
346,Bunion,Musculoskeletal,Mild,Adult,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
347,Urinary Tract Infection,Urinary,Mild,Elderly,"burning during urination,  frequent urge to urinate",Mild case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Elderly.,Over-the-counter medication may help.
348,Tension Headache,Neurological,Acute,Male,"dull head pain, pressure across forehead, scalp tenderness","Acute case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Avoid triggers like spicy food or allergens.
349,Strep Throat,Respiratory,Acute,Adult,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Acute case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Adult.,Rest and hydration recommended.
350,Fever,General,Acute,Male,"elevated body temperature, sweating, chills, headache","Acute case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Male.",Maintain good hygiene.
351,Anxiety,Mental Health,Acute,General,"nervousness, rapid heart rate, trembling, sweating","Acute case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: General.",Consult a doctor if symptoms persist for more than 48 hours.
352,Hives,Skin,Severe,Child,"red welts, itching, swelling, burning sensation, fatigue, dehydration","Severe case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Child.",Avoid triggers like spicy food or allergens.
353,Allergic Rhinitis,Immune,Acute,Female,"sneezing, runny nose, itchy eyes, congestion",Acute case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Female.,Rest and hydration recommended.
354,Carpal Tunnel,Musculoskeletal,Acute,General,"numbness, tingling, weakness in hand",Acute case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Home remedies can alleviate symptoms.
355,Dehydration,Metabolic,Mild,Male,"extreme thirst,  dry mouth",Mild case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Male.,Seek immediate medical attention.
356,Jock Itch,Skin,Mild,Male,"red,  itchy rash in the groin area","Mild case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Male.",Over-the-counter medication may help.
357,Fever,General,Acute,Child,"elevated body temperature, sweating, chills, headache","Acute case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Child.",Over-the-counter medication may help.
358,Gingivitis,Dental,Acute,Elderly,"swollen gums, bleeding gums, bad breath, receding gums",Acute case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Elderly.,Prescription medication might be required.
359,Viral Pharyngitis,Respiratory,Moderate,Child,"sore throat, scratchy throat, difficulty swallowing","Moderate case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Child.",Rest and hydration recommended.
360,Influenza B,Respiratory,Acute,Female,"fever, chills, muscle aches, cough, fatigue","Acute case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Female.",Prescription medication might be required.
361,Hemorrhoids,Digestive,Chronic,Adult,"rectal bleeding, itching, pain, swelling",Chronic case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Adult.,Prescription medication might be required.
362,Acid Reflux,Digestive,Chronic,Male,"heartburn, chest pain, regurgitation, difficulty swallowing",Chronic case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Male.,Rest and hydration recommended.
363,Constipation,Digestive,Chronic,Female,"infrequent bowel movements, hard stools, straining",Chronic case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Female.,Avoid triggers like spicy food or allergens.
364,Hives,Skin,Chronic,Adult,"red welts, itching, swelling, burning sensation","Chronic case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Adult.",Over-the-counter medication may help.
365,Contact Dermatitis,Skin,Moderate,General,"red rash, itching, dry skin, blisters",Moderate case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: General.,Avoid triggers like spicy food or allergens.
366,Canker Sore,Dental,Chronic,Elderly,"small ulcer in mouth, pain, difficulty eating","Chronic case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Elderly.",Home remedies can alleviate symptoms.
367,Acid Reflux,Digestive,Severe,General,"heartburn, chest pain, regurgitation, difficulty swallowing, fatigue, dehydration",Severe case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: General.,Over-the-counter medication may help.
368,Type 2 Diabetes,Metabolic,Chronic,Female,"increased thirst, frequent urination, hunger, fatigue",Chronic case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Female.,Home remedies can alleviate symptoms.
369,Tennis Elbow,Musculoskeletal,Chronic,Adult,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Adult.",Over-the-counter medication may help.
370,Asthma,Respiratory,Acute,Male,"wheezing, shortness of breath, chest tightness, coughing",Acute case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Male.,Apply ice or heat to the affected area.
371,Type 2 Diabetes,Metabolic,Chronic,Adult,"increased thirst, frequent urination, hunger, fatigue",Chronic case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Adult.,Seek immediate medical attention.
372,Canker Sore,Dental,Severe,General,"small ulcer in mouth, pain, difficulty eating, fatigue, dehydration","Severe case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: General.",Over-the-counter medication may help.
